split,split_label,model,model_label,seeds,test_profiles,mse_mean,mse_sd,mse_ci95_low,mse_ci95_high,mae_mean,mae_sd,mae_ci95_low,mae_ci95_high,r2_mean,r2_sd,r2_ci95_low,r2_ci95_high,pearson_mean_mean,pearson_mean_sd,pearson_mean_ci95_low,pearson_mean_ci95_high,spearman_mean_mean,spearman_mean_sd,spearman_mean_ci95_low,spearman_mean_ci95_high,best_epoch_mean,best_epoch_sd,best_epoch_ci95_low,best_epoch_ci95_high,runtime_seconds_mean,runtime_seconds_sd,runtime_seconds_ci95_low,runtime_seconds_ci95_high,mse_display,mae_display,r2_display,pearson_mean_display,spearman_mean_display
hdac_class_holdout,Corrected annotation-defined HDAC holdout,dual_stream,Dual stream,3,1856,1.3264301941991925,0.0255558026031799,1.2629460611985857,1.389914327199799,0.8387535676978443,0.0053124420392847,0.8255567300865692,0.8519504053091194,0.1308483748792938,0.016745598419695,0.0892500023391027,0.1724467474194849,0.378085736606458,0.008548849759904,0.3568492165257927,0.3993222566871233,0.3450666766248853,0.00983722549136,0.3206296538028061,0.3695036994469645,5.666666666666667,2.0816659994661326,0.4955216541244045,10.83781167920893,302.72797546784085,55.0493807701176,165.97773268828828,439.47821824739344,1.326 (0.026),0.839 (0.005),0.131 (0.017),0.378 (0.009),0.345 (0.010)
hdac_class_holdout,Corrected annotation-defined HDAC holdout,fingerprint_mlp,Fingerprint MLP,3,1856,1.3327963758326062,0.0153833177820181,1.2945820959984555,1.371010655666757,0.8408582601262918,0.003672133057075,0.8317361759166468,0.8499803443359368,0.1266768948144604,0.0100800145446488,0.1016367505491062,0.1517170390798145,0.3792479913429413,0.0068037329220077,0.3623465818107046,0.396149400875178,0.3442091977047956,0.0061507792122472,0.3289298151070022,0.3594885803025889,3.6666666666666665,1.5275252316519468,-0.1279163669300933,7.461249700263426,65.63769807914893,10.08777963207311,40.578264267289256,90.6971318910086,1.333 (0.015),0.841 (0.004),0.127 (0.010),0.379 (0.007),0.344 (0.006)
leave_cell_line_out,Leave cell line out,dual_stream,Dual stream,3,5175,0.9417945059281412,0.0035737914323103,0.9329167158572088,0.9506722959990738,0.7135043444168571,0.0004770719268677,0.7123192320521075,0.7146894567816067,0.1210841654602833,0.0033351881534968,0.1127990987923988,0.1293692321281678,0.2656097321225264,0.0100018270263826,0.2407638164198855,0.2904556478251672,0.242949069910239,0.0096024839181247,0.2190951774827494,0.2668029623377286,9.333333333333334,4.932882862316248,-2.920627012593369,21.58729367926004,272.21115369101364,106.17473954256656,8.45847915805507,535.9638282239722,0.942 (0.004),0.714 (0.000),0.121 (0.003),0.266 (0.010),0.243 (0.010)
leave_cell_line_out,Leave cell line out,fingerprint_mlp,Fingerprint MLP,3,5175,0.940809256463952,0.0068354815162795,0.9238289790513896,0.9577895338765144,0.7128595899872096,0.0019863348315755,0.7079252607239296,0.7177939192504895,0.1220036349938142,0.0063791123260385,0.1061570414972104,0.137850228490418,0.2723734278582949,0.0101678877396157,0.2471149944754716,0.2976318612411182,0.2491613978235653,0.0099774425416398,0.2243760565390557,0.273946739108075,11.666666666666666,4.163331998932265,1.3243766415821412,22.00895669175119,76.28168790911634,16.758632927962047,34.65093585538497,117.91243996284771,0.941 (0.007),0.713 (0.002),0.122 (0.006),0.272 (0.010),0.249 (0.010)
leave_drug_out,Leave drug out,dual_stream,Dual stream,3,7967,0.9194411691047212,0.0026912163070171,0.9127558171859824,0.9261265210234598,0.7170504461969056,0.0008969844925012,0.7148222131922282,0.7192786792015831,0.0515478151205282,0.0027761319289836,0.0446515211029458,0.0584441091381106,0.1877468670265106,0.0003287077532342,0.1869303117005566,0.1885634223524646,0.1657424493384247,0.0008240600500449,0.1636953706913613,0.1677895279854881,3.6666666666666665,1.5275252316519463,-0.1279163669300929,7.461249700263426,159.27657460669676,25.069570447559784,97.00030924053188,221.5528399728616,0.919 (0.003),0.717 (0.001),0.052 (0.003),0.188 (0.000),0.166 (0.001)
leave_drug_out,Leave drug out,fingerprint_mlp,Fingerprint MLP,3,7967,0.9186670608513694,0.0008947946869139,0.9164442676253324,0.9208898540774064,0.7155334068257403,0.0006005658827309,0.7140415184680577,0.7170252951834228,0.0523463487177779,0.0009230280352233,0.0500534199664769,0.0546392774690789,0.1911566192104303,0.0034543426589013,0.1825755563421456,0.1997376820787151,0.1695483172259446,0.0030706894542143,0.1619203017516568,0.1771763327002325,4.0,1.7320508075688772,-0.3026527297494619,8.302652729749461,45.63129359607896,7.923895798383034,25.94724521933567,65.31534197282224,0.919 (0.001),0.716 (0.001),0.052 (0.001),0.191 (0.003),0.170 (0.003)
pair_split,Drug--cell pair,dual_stream,Dual stream,5,8319,0.8821488304627632,0.0043074490500239,0.8768004260532514,0.8874972348722749,0.7039501047333536,0.0025072698978195,0.7008369179674511,0.7070632914992562,0.1083556620082383,0.0043538147124528,0.1029496870249357,0.1137616369915409,0.2594938792083628,0.0085152645707092,0.2489207817557331,0.2700669766609925,0.2370897200474343,0.0089228093230004,0.2260105889482278,0.2481688511466408,10.0,3.6742346141747673,5.437835158625094,14.562164841374903,274.21047431603074,60.89684896147936,198.5970493565096,349.8238992755519,0.882 (0.004),0.704 (0.003),0.108 (0.004),0.259 (0.009),0.237 (0.009)
pair_split,Drug--cell pair,fingerprint_mlp,Fingerprint MLP,5,8319,0.8807100505211599,0.0014979263284396,0.8788501293271749,0.882569971715145,0.7029529459147995,0.0005838034434239,0.7022280581970726,0.7036778336325265,0.1098099290709445,0.0015140501051067,0.1079299875639567,0.1116898705779322,0.2628704734859849,0.005242723653956,0.2563607722723363,0.2693801746996335,0.2405105311576985,0.0053306834713173,0.2338916134055439,0.2471294489098531,11.0,3.3166247903554,6.881866402265594,15.118133597734406,74.77839859947562,13.299061972150849,58.26543213877516,91.29136506017608,0.881 (0.001),0.703 (0.001),0.110 (0.002),0.263 (0.005),0.241 (0.005)
scaffold_split,Scaffold split,dual_stream,Dual stream,3,7844,0.9734090014085918,0.0004020842445124,0.9724101687734978,0.9744078340436856,0.7379114526818825,0.0021256159341351,0.7326311299792,0.743191775384565,0.0616585298344249,0.0003875989646492,0.0606956806293043,0.0626213790395455,0.1853235781670876,0.0056482026594957,0.1712926649370258,0.1993544913971494,0.1629190578452586,0.0070522644718711,0.1454002617174465,0.1804378539730708,3.0,1.0,0.5158622882496697,5.48413771175033,151.91598129396638,16.008673736090817,112.14823115103611,191.68373143689664,0.973 (0.000),0.738 (0.002),0.062 (0.000),0.185 (0.006),0.163 (0.007)
scaffold_split,Scaffold split,fingerprint_mlp,Fingerprint MLP,3,7844,0.9710366391289168,0.002327597284195,0.96525456693748,0.9768187113203533,0.7357929997998017,0.0007230074798431,0.7339969496532457,0.7375890499463578,0.0639454266127107,0.0022437444634726,0.0583716563754673,0.0695191968499541,0.1861817935070142,0.0013478589133099,0.1828335263503421,0.1895300606636862,0.1650073273544824,0.0015468776434718,0.1611646702648705,0.1688499844440943,4.0,1.7320508075688772,-0.3026527297494619,8.302652729749461,48.876288248846926,6.767202016566436,32.065626516461364,65.68694998123249,0.971 (0.002),0.736 (0.001),0.064 (0.002),0.186 (0.001),0.165 (0.002)
