candidate,model,seeds,signatures,cell_lines,pearson_mean,pearson_seed_sd,pearson_ci95_low,pearson_ci95_high,spearman_mean,spearman_seed_sd,spearman_ci95_low,spearman_ci95_high,profile_mse_mean,profile_mse_seed_sd,profile_mse_ci95_low,profile_mse_ci95_high,profile_mae_mean,profile_mae_seed_sd,profile_mae_ci95_low,profile_mae_ci95_high
Mocetinostat,dual_stream,3,14,12,0.4833107071795634,0.0364733661641357,0.392705842817878,0.5739155715412488,0.4757150859539301,0.0386899118377892,0.3796040168945733,0.5718261550132868,1.282502690952381,0.0700695449750156,1.1084402918369156,1.4565650900678462,0.8793683545238095,0.0260936639834998,0.8145480997854593,0.9441886092621596
Mocetinostat,fingerprint_mlp,3,14,12,0.5037607116003832,0.0143199265947645,0.4681880419172729,0.5393333812834934,0.4985391616213794,0.0110995414387656,0.4709663721505478,0.526111951092211,1.2221896914285717,0.0148722082613962,1.1852450780298902,1.2591343048272527,0.8571617295238094,0.005426408502699,0.8436817835230591,0.8706416755245597
PCI-24781,dual_stream,3,19,13,0.3078612253854149,0.0629151424726872,0.1515713473308045,0.4641511034400253,0.2700959642971464,0.0609060458627548,0.1187969588977568,0.4213949696965361,2.229277715964912,0.0623993169375772,2.0742692195747363,2.384286212355088,1.098773879122807,0.0176364601549434,1.0549624833506728,1.1425852748949412
PCI-24781,fingerprint_mlp,3,19,13,0.5401451456965062,0.0471654535971102,0.4229796637255662,0.6573106276674461,0.4925551326852854,0.0432590783635031,0.3850936247482762,0.6000166406222947,2.0993036266666665,0.0304197887995377,2.023736682127191,2.174870571206142,1.0678932992982455,0.00662801879345,1.0514283878594504,1.0843582107370406
