compound,role,stable_consensus_4lxz_hdac2,stable_consensus_4bkx_hdac1,fixed_frame_medoid_rmsd_a,cluster_median_score_4lxz_kcal_mol,cluster_median_score_4bkx_kcal_mol,score_delta_4bkx_minus_4lxz_kcal_mol,zbg_min_zn_4lxz_a,zbg_min_zn_4bkx_a,nearest_heteroatom_zn_4lxz_a,nearest_heteroatom_zn_4bkx_a
Vorinostat,crystallographic_positive_control,True,True,8.35688880662629,-7.491,-8.111,-0.620000000000001,2.123285425937831,6.248512462978686,2.123285425937831,2.3240742242880272
Vorinostat_O_methyl_decoy,designed_zinc_chelation_sensitivity_control,True,True,1.871716591794816,-7.998,-7.767,0.2309999999999998,6.799361440606023,6.246826634380051,4.07834451708043,2.2099070116183617
Mocetinostat,core_candidate,True,True,1.0796125230840925,-11.024,-10.864,0.1599999999999983,12.954091940387023,12.864516547464968,2.002015484455601,2.1758053681338314
NCH-51,secondary_candidate,True,True,1.8699640987915331,-8.357,-8.457,-0.1000000000000014,,,2.448218535997145,2.435119093596862
TC-H-106,original_method_sensitive_candidate,True,True,1.5077932218974852,-9.674,-8.886,0.7880000000000003,10.441715041122317,10.23157201997816,3.8579594347271207,3.894841460188078
Entinostat,reference_control,True,True,1.2804284020815626,-10.7025,-10.539,0.1635000000000008,11.851627483177154,12.653272857249226,1.9181465011828465,1.907491022259345
Belinostat,class_support_control,True,True,8.787424832214395,-9.336,-7.9155,1.4205000000000003,8.917527179661413,2.140396925806052,2.841450509862877,2.140396925806052
