metric,model,candidates,cancers,candidate_cancer_pairs,pearson,pearson_two_way_ci95_low,pearson_two_way_ci95_high,spearman,spearman_two_way_ci95_low,spearman_two_way_ci95_high,bootstrap_iterations,bootstrap_seed,bootstrap_unit
signed_wtrs,dual_stream,8,22,176,0.6423753544320558,0.3647440090985977,0.8381025254685506,0.639916354831609,0.2967512330462744,0.840411512137583,10000,20260719,candidate_and_cancer_crossed_resampling
signed_wtrs,fingerprint_mlp,8,22,176,0.8046731374049203,0.601176244536499,0.9106992710162924,0.8031366938146599,0.5537419939750076,0.9186018706143244,10000,20260719,candidate_and_cancer_crossed_resampling
spearman_reversal,dual_stream,8,22,176,0.8128967499685656,0.6343543452073218,0.919136057137059,0.800662557781202,0.5944443347894225,0.9091252257687192,10000,20260719,candidate_and_cancer_crossed_resampling
spearman_reversal,fingerprint_mlp,8,22,176,0.85313581569257,0.7102015921949131,0.9209042160231692,0.8301606867708563,0.6533927659162173,0.910383696532159,10000,20260719,candidate_and_cancer_crossed_resampling
