metric,metric_role,annotation_definition,top_fraction,top_k,library_compounds,library_annotated,observed_annotated,expected_annotated,fold_enrichment,fisher_odds_ratio,conditional_odds_ratio,conditional_or_ci95_low,conditional_or_ci95_high,fisher_one_sided_p,fdr_bh_all_24_tests,fdr_bh_within_metric_definition
legacy_wtrs,sensitivity,annotation_defined_HDAC,0.005,143,28477,39,2,0.19584225866488744,10.212300519992828,10.847996933103316,10.844463057200139,1.2543605821201547,42.749591746401016,0.016432775988247397,0.024649163982371096,0.016432775988247397
legacy_wtrs,sensitivity,annotation_defined_HDAC,0.01,285,28477,39,4,0.39031499104540507,10.248133153396312,11.451753940010168,11.44798781495544,2.936052099508061,32.32988094241671,0.0006132033988385624,0.0010512058265803926,0.0008176045317847499
legacy_wtrs,sensitivity,annotation_defined_HDAC,0.05,1424,28477,39,11,1.9502054289426556,5.640431431864016,7.513775149125467,7.512482589007785,3.367778072126484,15.604514901342412,2.156237698653379e-06,9.868275801207211e-06,8.624950794613517e-06
legacy_wtrs,sensitivity,annotation_defined_HDAC,0.1,2848,28477,39,14,3.900410857885311,3.589365456640737,5.059364855328158,5.0588524884184825,2.4279577400868613,10.127229190890676,1.2999296433818725e-05,3.466479049018327e-05,2.599859286763745e-05
legacy_wtrs,sensitivity,explicit_class_I_target,0.005,143,28477,26,2,0.13056150577659165,15.31845077998924,16.731678486997637,16.72320784829078,1.8979631280084992,68.43523948784797,0.007520114380284045,0.012032183008454472,0.007520114380284045
legacy_wtrs,sensitivity,explicit_class_I_target,0.01,285,28477,26,4,0.26020999403027006,15.372199730094465,18.227110967324492,18.217793328595725,4.534444421277781,54.12714533116781,0.00012344267073844507,0.0002278941613632832,0.0001645902276512601
legacy_wtrs,sensitivity,explicit_class_I_target,0.05,1424,28477,26,10,1.300136952628437,7.691497407087295,11.950583451202263,11.94761869683173,4.8374419646038875,28.060646270713637,2.41083740122652e-07,2.893004881471824e-06,9.64334960490608e-07
legacy_wtrs,sensitivity,explicit_class_I_target,0.1,2848,28477,26,12,2.600273905256874,4.614898444252377,7.741789240378803,7.74069490391578,3.267114905777488,18.050898274258774,2.467068950301803e-06,9.868275801207211e-06,4.934137900603606e-06
signed_wtrs,primary,annotation_defined_HDAC,0.005,143,28477,39,4,0.19584225866488744,20.424601039985657,23.267420349434737,23.2514068050089,5.923736162331844,66.31369156224652,4.374058989010734e-05,9.543401430568874e-05,5.832078652014312e-05
signed_wtrs,primary,annotation_defined_HDAC,0.01,285,28477,39,5,0.39031499104540507,12.81016644174539,14.788865546218487,14.782650052071988,4.48001925736002,38.386540629656466,4.2241645470005106e-05,9.543401430568874e-05,5.832078652014312e-05
signed_wtrs,primary,annotation_defined_HDAC,0.05,1424,28477,39,11,1.9502054289426556,5.640431431864016,7.513775149125467,7.512482589007785,3.367778072126484,15.604514901342412,2.156237698653379e-06,9.868275801207211e-06,8.624950794613517e-06
signed_wtrs,primary,annotation_defined_HDAC,0.1,2848,28477,39,13,3.900410857885311,3.3329822097378274,4.515520282186949,4.515108346037893,2.1278043080526614,9.121071512067108,6.480034974985678e-05,0.00012960069949971356,6.480034974985678e-05
signed_wtrs,primary,explicit_class_I_target,0.005,143,28477,26,4,0.13056150577659165,30.63690155997848,37.03335513407456,36.99443255742417,9.148609658780725,110.9270494502755,8.363591880179856e-06,2.5090775640539568e-05,8.363591880179856e-06
signed_wtrs,primary,explicit_class_I_target,0.01,285,28477,26,5,0.26020999403027006,19.21524966261808,23.954931972789115,23.93939457595036,7.002705841447662,65.85381077069002,5.367697382147216e-06,1.84035338816476e-05,7.156929842862955e-06
signed_wtrs,primary,explicit_class_I_target,0.05,1424,28477,26,11,1.300136952628437,8.460647147796024,14.032460485963671,14.028577147654897,5.816772675567342,32.755703244437974,1.8132722604378186e-08,4.351853425050765e-07,7.253089041751274e-08
signed_wtrs,primary,explicit_class_I_target,0.1,2848,28477,26,12,2.600273905256874,4.614898444252377,7.741789240378803,7.74069490391578,3.267114905777488,18.050898274258774,2.467068950301803e-06,9.868275801207211e-06,4.934137900603606e-06
spearman_reversal,primary,annotation_defined_HDAC,0.005,143,28477,39,1,0.19584225866488744,5.106150259996414,5.2438843587842845,5.2431232900335045,0.1285076891781448,31.495029206720567,0.17837161837934182,0.22531151795285284,0.3504498337473225
spearman_reversal,primary,annotation_defined_HDAC,0.01,285,28477,39,2,0.39031499104540507,5.124066576698156,5.377709865342374,5.376921928979826,0.6248655961927391,21.019590053774248,0.05804577647775873,0.08194697855683586,0.23218310591103491
spearman_reversal,primary,annotation_defined_HDAC,0.05,1424,28477,39,3,1.9502054289426556,1.5382994814174589,1.5843889279849872,1.584357358032419,0.3117802994125795,5.023872774295267,0.3094186097884928,0.35362126832970603,0.3504498337473225
spearman_reversal,primary,annotation_defined_HDAC,0.1,2848,28477,39,5,3.900410857885311,1.281916234514549,1.3239432248453373,1.3239286414824973,0.40387513272523146,3.406613428442989,0.3504498337473225,0.38230890954253366,0.3504498337473225
spearman_reversal,primary,explicit_class_I_target,0.005,143,28477,26,1,0.13056150577659165,7.65922538999462,7.974366197183099,7.9724899372310825,0.1928811764782962,49.39671851907767,0.12273665713277739,0.16364887617703652,0.460418095452299
spearman_reversal,primary,explicit_class_I_target,0.01,285,28477,26,1,0.26020999403027006,3.8430499325236163,3.9671830985915495,3.9667826302823546,0.09628944437958362,24.40505802946279,0.2302090477261495,0.27625085727137944,0.460418095452299
spearman_reversal,primary,explicit_class_I_target,0.05,1424,28477,26,2,1.300136952628437,1.5382994814174589,1.5839779653070791,1.5839464181912917,0.18126247846417656,6.390375528707323,0.37596513059421466,0.3923114406200501,0.48962833599501976
spearman_reversal,primary,explicit_class_I_target,0.1,2848,28477,26,3,2.600273905256874,1.1537246110630943,1.1739588905020248,1.1739518425644235,0.22550983965144297,3.889247290489935,0.48962833599501976,0.48962833599501976,0.48962833599501976
