metric,model,omission_type,omitted,pearson,spearman
spearman_reversal,dual_stream,candidate,Panobinostat,0.8237701004586072,0.8173702325504982
spearman_reversal,dual_stream,candidate,TC-H-106,0.7847311926441015,0.7651428900005751
spearman_reversal,dual_stream,candidate,Vorinostat,0.8004292640185146,0.7805498739085077
spearman_reversal,dual_stream,cancer,BLCA,0.814004439647639,0.8020003948147661
spearman_reversal,dual_stream,cancer,BRCA,0.82045283731845,0.8115898380753288
spearman_reversal,dual_stream,cancer,CESC,0.8193014371220951,0.8093247148981835
spearman_reversal,dual_stream,cancer,CHOL,0.8122035753588687,0.7943824945206799
spearman_reversal,dual_stream,cancer,COAD,0.8049067489265155,0.7847449648463007
spearman_reversal,dual_stream,cancer,ESCA,0.8191166450172064,0.8077150854672736
spearman_reversal,dual_stream,cancer,HNSC,0.8151988978257063,0.8031747156574426
spearman_reversal,dual_stream,cancer,KICH,0.8127739912470382,0.7972853953968649
spearman_reversal,dual_stream,cancer,KIRC,0.8077472910441323,0.7893435445254885
spearman_reversal,dual_stream,cancer,KIRP,0.814902022034894,0.8031190366519709
spearman_reversal,dual_stream,cancer,LIHC,0.8123199653265714,0.7990063828387184
spearman_reversal,dual_stream,cancer,LUAD,0.8108513956590335,0.7955416301800458
spearman_reversal,dual_stream,cancer,LUSC,0.8103146133587475,0.7896143469611919
spearman_reversal,dual_stream,cancer,PAAD,0.8171543586363778,0.8031139749242008
spearman_reversal,dual_stream,cancer,PCPG,0.749444160687057,0.7709694727198183
spearman_reversal,dual_stream,cancer,PRAD,0.8162867798436066,0.8062066905917668
spearman_reversal,dual_stream,cancer,READ,0.8084391836390546,0.7857142857142858
spearman_reversal,dual_stream,cancer,SARC,0.8304216109012065,0.8261853301005767
spearman_reversal,dual_stream,cancer,STAD,0.8179882520706245,0.8102003938024206
spearman_reversal,dual_stream,cancer,THCA,0.808420915360997,0.7920439762908673
spearman_reversal,dual_stream,cancer,THYM,0.8233782996535431,0.8122858256437254
spearman_reversal,dual_stream,cancer,UCEC,0.816754115593019,0.805277863545943
spearman_reversal,fingerprint_mlp,candidate,Belinostat,0.8588413513337881,0.8357409826100529
spearman_reversal,fingerprint_mlp,candidate,Entinostat,0.849409835335868,0.8229856165340037
spearman_reversal,fingerprint_mlp,candidate,Mocetinostat,0.8643766721331951,0.8390530405710672
spearman_reversal,fingerprint_mlp,candidate,NCH-51,0.8483930146639221,0.8269614003959356
spearman_reversal,fingerprint_mlp,candidate,PCI-24781,0.8556013400197064,0.8376270156156306
spearman_reversal,fingerprint_mlp,candidate,Panobinostat,0.8701329886941025,0.8550547491723963
spearman_reversal,fingerprint_mlp,candidate,TC-H-106,0.8410522474284979,0.8061854653885016
spearman_reversal,fingerprint_mlp,candidate,Vorinostat,0.8429361524113623,0.8126650073519144
spearman_reversal,fingerprint_mlp,cancer,BLCA,0.8552991305211061,0.8329224897626557
spearman_reversal,fingerprint_mlp,cancer,BRCA,0.8622992728613375,0.8397988469384141
spearman_reversal,fingerprint_mlp,cancer,CESC,0.8592663958047855,0.8407352665758933
spearman_reversal,fingerprint_mlp,cancer,CHOL,0.8526065145138904,0.8265624288194533
spearman_reversal,fingerprint_mlp,cancer,COAD,0.8454393158060929,0.8163377387237362
spearman_reversal,fingerprint_mlp,cancer,ESCA,0.8568976820116142,0.8338513168084796
spearman_reversal,fingerprint_mlp,cancer,HNSC,0.8554479160589741,0.8326339712797568
spearman_reversal,fingerprint_mlp,cancer,KICH,0.8557930368103787,0.8304270579719683
spearman_reversal,fingerprint_mlp,cancer,KIRC,0.8498920586874575,0.8207996517531294
spearman_reversal,fingerprint_mlp,cancer,KIRP,0.8561378983031659,0.8333147736648429
spearman_reversal,fingerprint_mlp,cancer,LIHC,0.854185588873222,0.8325048972216177
spearman_reversal,fingerprint_mlp,cancer,LUAD,0.8505198884657679,0.823001503333148
spearman_reversal,fingerprint_mlp,cancer,LUSC,0.8468444448107443,0.8168742818673728
spearman_reversal,fingerprint_mlp,cancer,PAAD,0.8527960354483474,0.8278784780396942
spearman_reversal,fingerprint_mlp,cancer,PCPG,0.8033031767265023,0.8048501475493647
spearman_reversal,fingerprint_mlp,cancer,PRAD,0.858613793114472,0.8382271804657803
spearman_reversal,fingerprint_mlp,cancer,READ,0.8455075419207929,0.8162972449015748
spearman_reversal,fingerprint_mlp,cancer,SARC,0.8662853307152114,0.8524050799499904
spearman_reversal,fingerprint_mlp,cancer,STAD,0.8554678157191056,0.833737427933651
spearman_reversal,fingerprint_mlp,cancer,THCA,0.8513771949335305,0.8221410096122211
spearman_reversal,fingerprint_mlp,cancer,THYM,0.8586451196706733,0.8371768719534728
spearman_reversal,fingerprint_mlp,cancer,UCEC,0.858558177677304,0.8390319951812354
