split,split_label,model,model_label,seeds,test_profiles,mse_mean,mse_sd,mse_ci95_low,mse_ci95_high,mae_mean,mae_sd,mae_ci95_low,mae_ci95_high,r2_mean,r2_sd,r2_ci95_low,r2_ci95_high,pearson_mean_mean,pearson_mean_sd,pearson_mean_ci95_low,pearson_mean_ci95_high,spearman_mean_mean,spearman_mean_sd,spearman_mean_ci95_low,spearman_mean_ci95_high,best_epoch_mean,best_epoch_sd,best_epoch_ci95_low,best_epoch_ci95_high,runtime_seconds_mean,runtime_seconds_sd,runtime_seconds_ci95_low,runtime_seconds_ci95_high
hdac_class_holdout,Corrected annotation-defined HDAC holdout,dual_stream,Dual stream,3,1856,1.3264301941991923,0.025555802603179956,1.2629460611985857,1.389914327199799,0.8387535676978443,0.005312442039284755,0.8255567300865692,0.8519504053091194,0.13084837487929388,0.016745598419695015,0.08925000233910277,0.17244674741948499,0.378085736606458,0.008548849759904,0.3568492165257927,0.3993222566871233,0.3450666766248853,0.009837225491360062,0.3206296538028061,0.36950369944696454,5.666666666666667,2.0816659994661326,0.4955216541244045,10.83781167920893,302.72797546784085,55.0493807701176,165.97773268828828,439.47821824739344
hdac_class_holdout,Corrected annotation-defined HDAC holdout,fingerprint_mlp,Fingerprint MLP,3,1856,1.3327963758326062,0.015383317782018126,1.2945820959984555,1.371010655666757,0.8408582601262918,0.0036721330570750016,0.8317361759166468,0.8499803443359368,0.1266768948144604,0.010080014544648895,0.10163675054910624,0.15171703907981454,0.37924799134294135,0.006803732922007733,0.36234658181070467,0.396149400875178,0.3442091977047956,0.006150779212247222,0.32892981510700225,0.3594885803025889,3.6666666666666665,1.5275252316519468,-0.12791636693009334,7.461249700263426,65.63769807914893,10.08777963207311,40.578264267289256,90.69713189100861
leave_cell_line_out,Leave cell line out,dual_stream,Dual stream,3,5175,0.9417945059281413,0.0035737914323103765,0.9329167158572088,0.9506722959990738,0.7135043444168571,0.00047707192686775505,0.7123192320521075,0.7146894567816067,0.12108416546028337,0.003335188153496858,0.11279909879239888,0.12936923212816787,0.2656097321225264,0.01000182702638267,0.24076381641988556,0.29045564782516725,0.24294906991023904,0.009602483918124701,0.2190951774827494,0.26680296233772866,9.333333333333334,4.932882862316248,-2.9206270125933695,21.587293679260036,272.21115369101364,106.17473954256656,8.45847915805507,535.9638282239722
leave_cell_line_out,Leave cell line out,fingerprint_mlp,Fingerprint MLP,3,5175,0.9408092564639521,0.00683548151627954,0.9238289790513897,0.9577895338765144,0.7128595899872096,0.0019863348315755135,0.7079252607239296,0.7177939192504895,0.12200363499381424,0.0063791123260385635,0.10615704149721047,0.137850228490418,0.2723734278582949,0.010167887739615737,0.2471149944754716,0.2976318612411182,0.24916139782356536,0.009977442541639868,0.2243760565390557,0.27394673910807504,11.666666666666666,4.163331998932265,1.3243766415821412,22.00895669175119,76.28168790911634,16.758632927962047,34.65093585538497,117.91243996284771
leave_drug_out,Leave drug out,dual_stream,Dual stream,3,7967,0.9194411691047212,0.0026912163070171202,0.9127558171859825,0.9261265210234598,0.7170504461969056,0.0008969844925012118,0.7148222131922282,0.7192786792015831,0.05154781512052827,0.0027761319289836103,0.044651521102945894,0.05844410913811065,0.18774686702651064,0.0003287077532342961,0.1869303117005566,0.18856342235246468,0.16574244933842477,0.0008240600500449091,0.16369537069136136,0.16778952798548818,3.6666666666666665,1.5275252316519465,-0.1279163669300929,7.461249700263426,159.27657460669676,25.069570447559784,97.00030924053189,221.55283997286162
leave_drug_out,Leave drug out,fingerprint_mlp,Fingerprint MLP,3,7967,0.9186670608513694,0.000894794686913999,0.9164442676253325,0.9208898540774063,0.7155334068257403,0.000600565882730927,0.7140415184680577,0.7170252951834228,0.052346348717777956,0.0009230280352233015,0.05005341996647694,0.05463927746907897,0.19115661921043037,0.003454342658901343,0.18257555634214565,0.1997376820787151,0.16954831722594468,0.0030706894542143425,0.1619203017516568,0.17717633270023256,4.0,1.7320508075688772,-0.3026527297494619,8.302652729749461,45.631293596078955,7.923895798383034,25.94724521933567,65.31534197282224
pair_split,Drug--cell pair,dual_stream,Dual stream,5,8319,0.8821488304627632,0.00430744905002396,0.8768004260532514,0.8874972348722749,0.7039501047333536,0.0025072698978195504,0.7008369179674511,0.7070632914992562,0.10835566200823835,0.004353814712452853,0.10294968702493576,0.11376163699154093,0.2594938792083628,0.008515264570709233,0.24892078175573312,0.2700669766609925,0.2370897200474343,0.008922809323000425,0.2260105889482278,0.24816885114664083,10.0,3.6742346141747673,5.437835158625094,14.562164841374905,274.21047431603074,60.89684896147936,198.59704935650956,349.8238992755519
pair_split,Drug--cell pair,fingerprint_mlp,Fingerprint MLP,5,8319,0.8807100505211599,0.0014979263284396575,0.8788501293271749,0.882569971715145,0.7029529459147995,0.0005838034434239806,0.7022280581970726,0.7036778336325265,0.10980992907094453,0.0015140501051067999,0.10792998756395679,0.11168987057793227,0.2628704734859849,0.005242723653956096,0.25636077227233633,0.2693801746996335,0.24051053115769858,0.005330683471317325,0.23389161340554399,0.24712944890985317,11.0,3.3166247903554,6.881866402265594,15.118133597734406,74.77839859947562,13.299061972150849,58.26543213877516,91.29136506017608
scaffold_split,Scaffold split,dual_stream,Dual stream,3,7844,0.9734090014085918,0.0004020842445124028,0.9724101687734978,0.9744078340436857,0.7379114526818825,0.0021256159341351563,0.7326311299792,0.743191775384565,0.061658529834424956,0.0003875989646492602,0.06069568062930435,0.06262137903954557,0.18532357816708764,0.0056482026594957095,0.17129266493702583,0.19935449139714945,0.16291905784525865,0.007052264471871157,0.1454002617174465,0.1804378539730708,3.0,1.0,0.5158622882496697,5.48413771175033,151.91598129396638,16.008673736090817,112.14823115103613,191.68373143689664
scaffold_split,Scaffold split,fingerprint_mlp,Fingerprint MLP,3,7844,0.9710366391289167,0.002327597284195048,0.9652545669374801,0.9768187113203533,0.7357929997998017,0.0007230074798431801,0.7339969496532457,0.7375890499463578,0.06394542661271074,0.002243744463472649,0.058371656375467325,0.06951919684995417,0.18618179350701422,0.0013478589133099485,0.18283352635034217,0.18953006066368627,0.16500732735448242,0.0015468776434718612,0.1611646702648705,0.16884998444409435,4.0,1.7320508075688772,-0.3026527297494619,8.302652729749461,48.876288248846926,6.7672020165664355,32.065626516461364,65.68694998123249
