candidate,candidate_role,scope,splits,metrics,models,seeds,run_configurations,median_run_library_percentile,mean_run_library_percentile,run_library_percentile_q25,run_library_percentile_q75,run_library_percentile_sd,worst_split_metric_median_percentile,best_split_metric_median_percentile,top100_observation_fraction,top500_observation_fraction,top1_percent_observation_fraction,top10_percent_observation_fraction,rank_within_all_rows
Belinostat,class_support,legacy_inclusive_72_config_sensitivity,4,legacy_wtrs | signed_wtrs | spearman_reversal,2,3,72,92.79568759657255,79.44089857345757,61.217779884815286,99.79280797864868,22.669479462897947,56.80046354825116,99.83407079646017,0.35353535353535354,0.4873737373737373,0.4488636363636363,0.5953282828282828,3
Entinostat,reference_control,legacy_inclusive_72_config_sensitivity,4,legacy_wtrs | signed_wtrs | spearman_reversal,2,3,72,66.17063492063492,61.183442977322024,35.7340391908976,88.14703610057593,30.512146438156705,11.883691529709228,98.44167017839584,0.06123737373737373,0.14898989898989898,0.11805555555555555,0.27462121212121215,8
Mocetinostat,core_candidate,legacy_inclusive_72_config_sensitivity,4,legacy_wtrs | signed_wtrs | spearman_reversal,2,3,72,91.92477876106196,78.93552660329948,66.42611321814861,98.275740974856,25.63185800306886,51.53550358196375,99.35471976401179,0.06313131313131312,0.31313131313131315,0.22095959595959597,0.49116161616161613,4
NCH-51,secondary_candidate,legacy_inclusive_72_config_sensitivity,4,legacy_wtrs | signed_wtrs | spearman_reversal,2,3,72,95.44089759797724,84.54753808275194,74.29370346958844,99.65672847310015,20.421857627177367,61.453504705717094,99.7603244837758,0.24747474747474746,0.4665404040404041,0.4015151515151515,0.6281565656565656,1
PCI-24781,class_support,legacy_inclusive_72_config_sensitivity,4,legacy_wtrs | signed_wtrs | spearman_reversal,2,3,72,57.596748138783525,62.92513871330243,32.9646017699115,99.32267523528586,30.580546144520593,26.697921056328138,99.70325888467481,0.16729797979797978,0.2758838383838384,0.2361111111111111,0.4002525252525253,9
Panobinostat,class_support,legacy_inclusive_72_config_sensitivity,4,legacy_wtrs | signed_wtrs | spearman_reversal,2,3,72,94.16526197499647,72.87174579763075,46.64761553588987,99.65146087933698,29.48069365294255,33.48082595870207,99.79368591094254,0.255050505050505,0.39457070707070707,0.33712121212121215,0.5202020202020202,2
RG2833,prediction_only,legacy_inclusive_72_config_sensitivity,4,legacy_wtrs | signed_wtrs | spearman_reversal,2,3,72,57.276302851524086,60.30475468620749,41.67325115887063,81.99843728051692,25.001395858759114,23.401285292878214,94.25217727208877,0.0505050505050505,0.11994949494949493,0.09848484848484847,0.21148989898989898,10
TC-H-106,original_method_sensitive,legacy_inclusive_72_config_sensitivity,4,legacy_wtrs | signed_wtrs | spearman_reversal,2,3,72,74.7260851243152,70.97833848386945,55.012115465655285,92.7092112656272,23.080885147414964,29.430924287118977,97.36181345694621,0.07765151515151514,0.1597222222222222,0.13257575757575757,0.3005050505050505,7
Tianeptinaline_or_BG-1010,identity_conflict_excluded,legacy_inclusive_72_config_sensitivity,4,legacy_wtrs | signed_wtrs | spearman_reversal,2,3,72,76.7189914313808,75.70454066582384,63.095677061385025,96.2626422250316,20.321726600172465,45.51201011378002,98.18268015170669,0.07070707070707069,0.17866161616161613,0.13888888888888887,0.332070707070707,5
Vorinostat,reference_control,legacy_inclusive_72_config_sensitivity,4,legacy_wtrs | signed_wtrs | spearman_reversal,2,3,72,76.66543756145526,70.17949325747999,44.158677482792534,97.66821182750385,29.81341647592399,18.953680292175868,98.96316196094958,0.1212121212121212,0.26893939393939387,0.22474747474747472,0.4640151515151515,6
