split,metric,seeds,advantage_dual_mean,advantage_dual_sd,advantage_dual_ci95_low,advantage_dual_ci95_high,orientation
pair_split,mse,5,-0.001438779941603374,0.0058010108696061905,-0.008641686291582091,0.005764126408375342,positive values favor dual_stream
pair_split,mae,5,-0.0009971588185540448,0.0029953298834607196,-0.004716352097591097,0.0027220344604830067,positive values favor dual_stream
pair_split,r2,5,-0.0014542670627061937,0.00586345332884431,-0.008734705966280188,0.005826171840867801,positive values favor dual_stream
pair_split,pearson_mean,5,-0.0033765942776221693,0.010971084350354002,-0.016998994736713464,0.010245806181469128,positive values favor dual_stream
pair_split,spearman_mean,5,-0.0034208111102642935,0.01142479645058252,-0.01760656954975876,0.010764947329230171,positive values favor dual_stream
leave_drug_out,mse,3,-0.0007741082533517055,0.002178971161622291,-0.006186972688754063,0.004638756182050651,positive values favor dual_stream
leave_drug_out,mae,3,-0.0015170393711652446,0.0012256626421679377,-0.004561754162458169,0.0015276754201276799,positive values favor dual_stream
leave_drug_out,r2,3,-0.0007985335972496843,0.0022477239745989897,-0.0063821894881563755,0.004785122293657007,positive values favor dual_stream
leave_drug_out,pearson_mean,3,-0.0034097521839197287,0.003765848006572972,-0.012764637233767454,0.0059451328659279965,positive values favor dual_stream
leave_drug_out,spearman_mean,3,-0.0038058678875199,0.0035895780169640347,-0.012722874008730225,0.005111138233690424,positive values favor dual_stream
leave_cell_line_out,mse,3,-0.0009852494641892824,0.0044107347351013265,-0.01194212195618159,0.009971623027803024,positive values favor dual_stream
leave_cell_line_out,mae,3,-0.0006447544296476204,0.0021766835342163574,-0.0060519360835404636,0.004762427224245223,positive values favor dual_stream
leave_cell_line_out,r2,3,-0.0009194695335308737,0.004116253148890932,-0.011144809211801884,0.009305870144740137,positive values favor dual_stream
leave_cell_line_out,pearson_mean,3,-0.006763695735768442,0.009868846255120623,-0.0312792688895796,0.017751877418042718,positive values favor dual_stream
leave_cell_line_out,spearman_mean,3,-0.006212327913326293,0.009840702092896251,-0.030657987092390274,0.018233331265737687,positive values favor dual_stream
scaffold_split,mse,3,-0.0023723622796751145,0.0027119366188383966,-0.009109186306408256,0.004364461747058027,positive values favor dual_stream
scaffold_split,mae,3,-0.002118452882080679,0.0026294345909671666,-0.008650330510083022,0.004413424745921663,positive values favor dual_stream
scaffold_split,r2,3,-0.0022868967782857887,0.0026142377872346856,-0.008781023453038207,0.00420722989646663,positive values favor dual_stream
scaffold_split,pearson_mean,3,-0.0008582153399265732,0.006965053095472622,-0.018160366398733484,0.01644393571888034,positive values favor dual_stream
scaffold_split,spearman_mean,3,-0.002088269509223787,0.008033731300614433,-0.02204516439914913,0.017868625380701553,positive values favor dual_stream
hdac_class_holdout,mse,3,0.006366181633413737,0.02323987401553054,-0.051364865824892254,0.06409722909171972,positive values favor dual_stream
hdac_class_holdout,mae,3,0.0021046924284476485,0.004745488673727015,-0.009683754946641686,0.013893139803536984,positive values favor dual_stream
hdac_class_holdout,r2,3,0.004171480064833477,0.015228071825063857,-0.03365714743305033,0.042000107562717284,positive values favor dual_stream
hdac_class_holdout,pearson_mean,3,-0.0011622547364833296,0.011417461821979042,-0.029524802220931103,0.02720029274796444,positive values favor dual_stream
hdac_class_holdout,spearman_mean,3,0.0008574789200897862,0.012570379614326221,-0.03036907513087555,0.032084032971055124,positive values favor dual_stream
