candidate,gene_set_scope,source,native,name,p_value,significant,query_size,term_size,intersection_size,effective_domain_size,precision,recall,intersection_genes,intersection_evidence_codes
Belinostat,disease_up_drug_down,GO:BP,GO:0040001,establishment of mitotic spindle localization,0.0019392161935132,True,95,33,4,11154,0.0421052631578947,0.1212121212121212,5347 | 4085 | 10403 | 1058,IDA | IMP
Belinostat,disease_up_drug_down,GO:MF,GO:0120544,polypeptide conformation or assembly isomerase activity,0.001942835105881,True,95,90,6,11154,0.0631578947368421,0.0666666666666666,24137 | 146909 | 56992 | 3832 | 10112 | 3833,IBA | TAS | IEA | ISS | NAS
Belinostat,disease_up_drug_down,REAC,REAC:R-HSA-69183,Processive synthesis on the lagging strand,0.0020767003312819,True,95,15,3,11154,0.031578947368421,0.2,2237 | 3978 | 23649,REAC
Belinostat,disease_up_drug_down,GO:BP,GO:0016072,rRNA metabolic process,0.0020912782150607,True,95,186,8,11154,0.0842105263157894,0.043010752688172,6839 | 23481 | 54606 | 8568 | 10813 | 57109 | 54663 | 5036,IEA | IMP | IBA
Belinostat,disease_up_drug_down,REAC,REAC:R-HSA-176814,Activation of APC/C and APC/C:Cdc20 mediated degradation of mitotic proteins,0.0022121641998614,True,95,68,5,11154,0.0526315789473684,0.0735294117647058,11065 | 5347 | 890 | 4085 | 4751,REAC
Belinostat,disease_up_drug_down,REAC,REAC:R-HSA-4615885,SUMOylation of DNA replication proteins,0.0023002275986325,True,95,38,4,11154,0.0421052631578947,0.1052631578947368,332 | 7153 | 55143 | 9212,REAC
Belinostat,disease_up_drug_down,GO:BP,GO:0051299,centrosome separation,0.0023184821091871,True,95,14,3,11154,0.031578947368421,0.2142857142857142,56992 | 3832 | 4751,ISS | IMP | IEA | IDA | TAS
Belinostat,disease_up_drug_down,GO:BP,GO:0051447,negative regulation of meiotic cell cycle,0.0023184821091871,True,95,14,3,11154,0.031578947368421,0.2142857142857142,11130 | 9319 | 7272,ISS | IBA | IEA
Belinostat,disease_up_drug_down,REAC,REAC:R-HSA-8856688,Golgi-to-ER retrograde transport,0.0023923177482883,True,95,108,6,11154,0.0631578947368421,0.0555555555555555,24137 | 146909 | 56992 | 3832 | 10112 | 3833,REAC
Belinostat,disease_up_drug_down,GO:BP,GO:0044779,meiotic spindle checkpoint signaling,0.0024249956791462,True,95,3,2,11154,0.0210526315789473,0.6666666666666666,11130 | 7272,ISS | IBA | IEA
Belinostat,disease_up_drug_down,REAC,REAC:R-HSA-73884,Base Excision Repair,0.0027008586783824,True,95,40,4,11154,0.0421052631578947,0.1,5427 | 2237 | 5984 | 3978,REAC
Belinostat,disease_up_drug_down,REAC,REAC:R-HSA-69481,G2/M Checkpoints,0.0027986450004878,True,95,112,6,11154,0.0631578947368421,0.0535714285714285,4171 | 9133 | 51512 | 4176 | 5984 | 993,REAC
Belinostat,disease_up_drug_down,GO:BP,GO:0071459,"protein localization to chromosome, centromeric region",0.00283000154345,True,95,15,3,11154,0.031578947368421,0.2,7272 | 1058 | 9212,IBA | IEA | IDA | NAS | IMP
Belinostat,disease_up_drug_down,GO:BP,GO:1904666,regulation of ubiquitin protein ligase activity,0.00283000154345,True,95,15,3,11154,0.031578947368421,0.2,11065 | 5347 | 4085,TAS | IDA
Belinostat,disease_up_drug_down,GO:CC,GO:0043227,membrane-bounded organelle,0.0029642259388697,True,95,8582,86,11154,0.9052631578947368,0.0100209741319039,11065 | 81620 | 4171 | 5427 | 1019 | 84823 | 57761 | 9133 | 5347 | 2305 | 890 | 51512 | 24137 | 146909 | 80758 | 55355 | 55635 | 23397 | 54982 | 22974 | 11130 | 57405 | 9055 | 1063 | 4288 | 1894 | 6241 | 220134 | 4085 | 10460 | 2237 | 26586 | 9837 | 4176 | 80324 | 23234 | 5901 | 55734 | 7298 | 8099 | 332 | 4001 | 6839 | 79019 | 9319 | 51067 | 4282 | 3832 | 10403 | 5888 | 22827 | 10330 | 5984 | 8985 | 3068 | 3978 | 7153 | 10112 | 9787 | 259266 | 699 | 79228 | 4234 | 55143 | 4521 | 23481 | 7272 | 1058 | 9212 | 3833 | 55215 | 6472 | 54606 | 23649 | 8568 | 4751 | 4605 | 23658 | 11339 | 10813 | 8091 | 57109 | 993 | 54663 | 4150 | 5036,IDA | IBA | TAS | NAS | IEA | IPI | ISS | ISO | IMP | HTP | HDA | IC
Belinostat,disease_up_drug_down,GO:BP,GO:0007019,microtubule depolymerization,0.0032491085123994,True,95,38,4,11154,0.0421052631578947,0.1052631578947368,146909 | 22974 | 26586 | 9212,IDA | IBA | IEA
Belinostat,disease_up_drug_down,GO:CC,GO:0032993,protein-DNA complex,0.0033175354603753,True,95,121,6,11154,0.0631578947368421,0.0495867768595041,4171 | 9837 | 4176 | 1058 | 23649 | 8091,IPI | ISS | IBA | IEA | IDA
Belinostat,disease_up_drug_down,REAC,REAC:R-HSA-69052,Switching of origins to a post-replicative state,0.0033656778152509,True,95,76,5,11154,0.0526315789473684,0.0657894736842105,11065 | 81620 | 4171 | 890 | 4176,REAC
Belinostat,disease_up_drug_down,GO:BP,GO:0051443,positive regulation of ubiquitin-protein transferase activity,0.0034218274354353,True,95,16,3,11154,0.031578947368421,0.1875,11065 | 57761 | 5347,TAS | ISS | IDA | IMP
Belinostat,disease_up_drug_down,GO:BP,GO:0006325,chromatin organization,0.0035234040724654,True,95,789,17,11154,0.1789473684210526,0.0215462610899873,4171 | 84823 | 55355 | 4288 | 23234 | 4001 | 6839 | 3068 | 7153 | 699 | 1058 | 9212 | 9833 | 4751 | 11339 | 8091 | 993,IEA | IBA | IMP | ISS | IDA | TAS
Belinostat,disease_up_drug_down,GO:BP,GO:0032467,positive regulation of cytokinesis,0.0035356515120582,True,95,39,4,11154,0.0421052631578947,0.1025641025641025,1894 | 332 | 55143 | 9212,IDA | IMP | NAS | TAS
