candidate_a,candidate_b,genes_a,genes_b,shared_genes,jaccard,shared_genes_values
Mocetinostat,Entinostat,200,200,86,0.2738853503184713,10112 | 10460 | 1066 | 10810 | 10894 | 11037 | 11065 | 11130 | 1164 | 125 | 1843 | 2034 | 2193 | 220134 | 2237 | 22827 | 23022 | 2305 | 23114 | 23234 | 23397 | 2354 | 25855 | 27000 | 2719 | 27338 | 2823 | 2840 | 2878 | 29901 | 3043 | 3290 | 332 | 364 | 3835 | 3978 | 4830 | 51491 | 51659 | 5166 | 51705 | 5347 | 5348 | 54606 | 5478 | 55165 | 55299 | 55388 | 55679 | 5577 | 56992 | 57109 | 5740 | 5888 | 5901 | 63876 | 6790 | 6943 | 699 | 7010 | 7048 | 7153 | 7167 | 7512 | 79080 | 79902 | 79971 | 80346 | 83461 | 8425 | 8427 | 8622 | 8630 | 8639 | 890 | 9079 | 9133 | 91851 | 9238 | 9590 | 9754 | 9898 | 990 | 991 | 9928 | 993
Mocetinostat,Vorinostat,200,200,63,0.1869436201780415,10112 | 10235 | 10460 | 10628 | 10810 | 11065 | 11130 | 220134 | 2237 | 22827 | 22974 | 2305 | 23397 | 2353 | 2354 | 23649 | 26112 | 26586 | 27000 | 2719 | 2788 | 2878 | 3082 | 3777 | 3835 | 400961 | 4085 | 482 | 4929 | 51659 | 5347 | 54606 | 55215 | 55355 | 55422 | 55635 | 55734 | 5577 | 55839 | 56992 | 57109 | 57406 | 5888 | 5901 | 5906 | 6241 | 63876 | 6790 | 6839 | 6943 | 699 | 7123 | 7272 | 79080 | 79728 | 8013 | 83461 | 8425 | 8427 | 890 | 9133 | 9590 | 9787
NCH-51,Entinostat,200,200,74,0.2269938650306748,10112 | 1019 | 10460 | 10894 | 11037 | 11065 | 11130 | 11170 | 125 | 1841 | 1843 | 2034 | 220134 | 2237 | 22827 | 2305 | 23114 | 23234 | 23397 | 2354 | 256949 | 27000 | 2823 | 2840 | 2878 | 316 | 332 | 364 | 3835 | 3978 | 4171 | 4176 | 4783 | 51705 | 5347 | 5354 | 54606 | 54939 | 55143 | 55679 | 5577 | 5648 | 56992 | 57109 | 5725 | 57405 | 57716 | 5901 | 63876 | 66002 | 6790 | 6943 | 699 | 7010 | 7148 | 7153 | 7167 | 7298 | 7512 | 79019 | 79080 | 80324 | 81620 | 83461 | 8427 | 8630 | 8639 | 8777 | 890 | 9133 | 9156 | 9238 | 9590 | 993
NCH-51,Vorinostat,200,200,100,0.3333333333333333,10003 | 10024 | 10112 | 1019 | 10235 | 10460 | 10628 | 1063 | 10721 | 11065 | 11080 | 11130 | 11170 | 146909 | 154661 | 1841 | 1894 | 220134 | 2237 | 22827 | 22974 | 2305 | 23397 | 2354 | 23673 | 24137 | 259266 | 26112 | 26586 | 27000 | 2788 | 2878 | 3082 | 316 | 361 | 3777 | 3833 | 3835 | 4001 | 400961 | 4085 | 4171 | 4176 | 4288 | 4306 | 4616 | 4783 | 48 | 482 | 51067 | 51512 | 5347 | 5427 | 54606 | 55143 | 55215 | 55247 | 55355 | 55422 | 55635 | 55734 | 5577 | 56992 | 57030 | 57109 | 5725 | 57405 | 57658 | 5901 | 5906 | 6241 | 63876 | 64344 | 6790 | 6839 | 6943 | 699 | 7078 | 7123 | 7272 | 7298 | 7371 | 788 | 79019 | 79080 | 79746 | 8013 | 80324 | 81558 | 81620 | 83461 | 8427 | 890 | 9055 | 9104 | 9133 | 9319 | 9397 | 9590 | 9787
TC-H-106,Entinostat,200,200,98,0.3245033112582781,10036 | 10112 | 10195 | 10248 | 10452 | 10460 | 1066 | 10810 | 10957 | 11034 | 11037 | 11065 | 11170 | 11338 | 125 | 1674 | 1827 | 1843 | 1901 | 2157 | 2202 | 22827 | 22998 | 23022 | 23029 | 2305 | 23114 | 2354 | 256949 | 25855 | 27000 | 2823 | 2840 | 29901 | 316 | 3265 | 3290 | 332 | 364 | 388 | 3953 | 3978 | 4176 | 4629 | 4783 | 4839 | 51659 | 5166 | 51705 | 5347 | 5348 | 54555 | 54663 | 5478 | 54939 | 54982 | 55299 | 55388 | 55621 | 55679 | 5577 | 57109 | 5725 | 5740 | 57716 | 5997 | 641 | 65005 | 65993 | 66002 | 6627 | 6723 | 6790 | 687 | 6943 | 7010 | 79050 | 79080 | 79169 | 79971 | 80346 | 81620 | 83461 | 8427 | 8622 | 8630 | 8639 | 8662 | 8777 | 890 | 891 | 9079 | 90865 | 91851 | 9590 | 9754 | 9898 | 990
TC-H-106,Vorinostat,200,200,62,0.1834319526627219,10036 | 10112 | 10460 | 10810 | 11034 | 11065 | 11080 | 11170 | 11338 | 1285 | 1827 | 22827 | 2305 | 23212 | 23481 | 2354 | 23649 | 27000 | 316 | 3777 | 3833 | 388 | 4001 | 4176 | 4288 | 4616 | 4783 | 4839 | 51659 | 5347 | 54663 | 54982 | 55422 | 55734 | 5577 | 57109 | 5725 | 5906 | 5997 | 64344 | 65005 | 6790 | 6943 | 7078 | 7123 | 788 | 79080 | 79728 | 80179 | 8099 | 81620 | 83461 | 8427 | 8434 | 84823 | 8568 | 890 | 891 | 8985 | 9055 | 9590 | 9867
