gene,eligible_lineages,models,kruskal_wallis_h,p_value,epsilon_squared,fdr_bh
HDAC1,24,1193,107.31783608338584,7.485149167831675e-13,0.0721281745794575,1.497029833566335e-12
HDAC2,24,1193,119.95333637120076,4.241894151557651e-15,0.0829369857751931,1.6967576606230603e-14
HDAC3,24,1193,95.6357390035223,7.902168857828747e-11,0.0621349349901816,1.0536225143771662e-10
HDAC8,24,1193,71.70824773210597,6.606892445669717e-07,0.0416665934406381,6.606892445669717e-07
