lineage,gene,models,mean_gene_effect,sd_gene_effect,median_gene_effect,median_ci95_low,median_ci95_high,q25_gene_effect,q75_gene_effect,iqr_gene_effect,fraction_gene_effect_le_neg_0_5,fraction_gene_effect_le_neg_1_0
Pan-cancer,HDAC1,1208,-0.1322709916808889,0.2604915165258112,-0.1074577575,-0.1178148119725,-0.09297453574,-0.207827720625,-0.004037546458,0.203790174167,0.0447019867549668,0.0107615894039735
Pan-cancer,HDAC2,1208,-0.026678097486217,0.2150584512870976,0.0014592455005,-0.0083024844485,0.01312896006,-0.0953934361425,0.0903501937125,0.1857436298549999,0.0314569536423841,0.0049668874172185
Pan-cancer,HDAC3,1208,-1.22302771708952,0.4557417823538423,-1.214557803,-1.24926105,-1.187875013,-1.50751966675,-0.90415147535,0.6033681914,0.9511589403973508,0.6821192052980133
Pan-cancer,HDAC8,1208,-0.1379798454859885,0.1980962645730109,-0.1213838523999999,-0.1341758207,-0.10719633005,-0.245371316725,-0.013212875895,0.23215844083,0.048841059602649,0.0008278145695364
