Cancer,Rank,Drug_Name,SMILES,Prediction_Score
PRAD,4,CHEBI:117321,CS(=O)(=O)Nc1ccc2O[C@@H]3[C@@H](C[C@@H](CC(=O)NCc4ccncc4)O[C@@H]3CO)c2c1,CS(=O)(=O)Nc1ccc2O[C@@H]3[C@@H](C[C@@H](CC(=O)NCc4ccncc4)O[C@@H]3CO)c2c1
PRAD,5,CHEBI:117416,CS(=O)(=O)Nc1ccc2O[C@H]3[C@H](C[C@H](CC(=O)NCc4ccncc4)O[C@@H]3CO)c2c1,CS(=O)(=O)Nc1ccc2O[C@H]3[C@H](C[C@H](CC(=O)NCc4ccncc4)O[C@@H]3CO)c2c1
READ,1,TC-H-106,Cc1ccc(NC(=O)CCCCCC(=O)Nc2ccccc2N)cc1,TC-H-106
READ,2,BML-210,Nc1ccccc1NC(=O)CCCCCCC(=O)Nc2ccccc2,Nc1ccccc1NC(=O)CCCCCCC(=O)Nc2ccccc2
READ,3,Tianeptinaline,CN1c2ccccc2C(NCCCCCCC(=O)Nc2ccccc2N)c2ccc(Cl)cc2S1(=O)=O,CN1c2ccccc2C(NCCCCCCC(=O)Nc2ccccc2N)c2ccc(Cl)cc2S1(=O)=O
READ,4,RG2833,Cc1ccc(cc1)C(=O)NCCCCCC(=O)Nc1ccccc1N,RG2833
READ,5,entinostat,Nc1ccccc1NC(=O)c1ccc(CNC(=O)OCc2cccnc2)cc1,entinostat
SARC,1,AZ-628,Cc1ccc(NC(=O)c2cccc(c2)C(C)(C)C#N)cc1Nc1ccc2ncn(C)c(=O)c2c1,AZ-628
SARC,2,PD-0325901,OCC(O)CONC(=O)c1ccc(F)c(F)c1Nc1ccc(I)cc1F,OCC(O)CONC(=O)c1ccc(F)c(F)c1Nc1ccc(I)cc1F
SARC,3,PD-0325901,OC[C@@H](O)CONC(=O)c1ccc(F)c(F)c1Nc1ccc(I)cc1F,PD-0325901
SARC,4,AS-703026,OC[C@@H](O)CNC(=O)c1ccncc1Nc1ccc(I)cc1F,AS-703026
SARC,5,GW-583340,CS(=O)(=O)CCNCc1nc(cs1)-c1ccc2ncnc(Nc3ccc(OCc4cccc(F)c4)c(Cl)c3)c2c1,GW-583340
STAD,1,SMER-28,Brc1ccc2ncnc(NCC=C)c2c1,SMER-28
STAD,2,"(3E)-2,3-bis[amino-(2-ami...",NC(Sc1ccccc1N)=C(C#N)/C(C#N)=C(/N)Sc1ccccc1N,NC(Sc1ccccc1N)=C(C#N)/C(C#N)=C(/N)Sc1ccccc1N
STAD,3,RefChem:244353,NC(Sc1ccccc1N)=C(C#N)/C(C#N)=C(N)Sc1ccccc1N,NC(Sc1ccccc1N)=C(C#N)/C(C#N)=C(N)Sc1ccccc1N
STAD,4,RefChem:244353,NC(=C(C#N)C(=C(N)Sc1ccccc1N)C#N)Sc2ccccc2N,NC(=C(C#N)C(=C(N)Sc1ccccc1N)C#N)Sc2ccccc2N
STAD,5,PD-184352,Fc1ccc(C(=O)NOCC2CC2)c(Nc2ccc(I)cc2Cl)c1F,PD-184352
THCA,1,QL47,Cn1cc(cn1)-c1ccc2ncc3ccc(=O)n(-c4ccc5CCN(C(=O)C=C)c5c4)c3c2c1,Cn1cc(cn1)-c1ccc2ncc3ccc(=O)n(-c4ccc5CCN(C(=O)C=C)c5c4)c3c2c1
THCA,2,TPCA-1,NC(=O)Nc1sc(cc1C(N)=O)-c1ccc(F)cc1,TPCA-1
THCA,3,MLS003178536,Cc1cc2n(C)c3c(cnn(Cc4c(Cl)ccc(C)c4F)c3=O)c2s1,Cc1cc2n(C)c3c(cnn(Cc4c(Cl)ccc(C)c4F)c3=O)c2s1
THCA,4,VX-702,NC(=O)N(c1ccc(C(N)=O)c(n1)-c1ccc(F)cc1F)c1c(F)cccc1F,VX-702
THCA,5,puromycin,COc1ccc(C[C@H](N)C(=O)N[C@H]2[C@@H](O)[C@@H](O[C@@H]2CO)n3cnc4c(ncnc34)N(C)C)cc1,puromycin
THYM,1,CHEBI:127455,C[C@@H](CO)N1C[C@H](C)[C@H](CN(C)Cc2ccc(Cl)c(Cl)c2)Oc3ccc(NC(=O)CCCCCC(=O)Nc4ccccc4N)cc3C1=O,C[C@@H](CO)N1C[C@H](C)[C@H](CN(C)Cc2ccc(Cl)c(Cl)c2)Oc3ccc(NC(=O)CCCCCC(=O)Nc4ccccc4N)cc3C1=O
THYM,2,CHEMBL2355034,C[C@H](CO)N1C[C@@H](C)[C@@H](CN(C)Cc2ccc(Cl)c(Cl)c2)Oc3ccc(NC(=O)CCCCCC(=O)Nc4ccccc4N)cc3C1=O,C[C@H](CO)N1C[C@@H](C)[C@@H](CN(C)Cc2ccc(Cl)c(Cl)c2)Oc3ccc(NC(=O)CCCCCC(=O)Nc4ccccc4N)cc3C1=O
THYM,3,CHEBI:127972,C[C@H](CO)N1C[C@H](C)[C@@H](CN(C)Cc2ccc(Cl)c(Cl)c2)Oc3ccc(NC(=O)CCCCCC(=O)Nc4ccccc4N)cc3C1=O,C[C@H](CO)N1C[C@H](C)[C@@H](CN(C)Cc2ccc(Cl)c(Cl)c2)Oc3ccc(NC(=O)CCCCCC(=O)Nc4ccccc4N)cc3C1=O
THYM,4,CHEBI:130302,C[C@H](CO)N1C[C@H](C)[C@H](CN(C)Cc2ccc(Cl)c(Cl)c2)Oc3ccc(NC(=O)CCCCCC(=O)Nc4ccccc4N)cc3C1=O,C[C@H](CO)N1C[C@H](C)[C@H](CN(C)Cc2ccc(Cl)c(Cl)c2)Oc3ccc(NC(=O)CCCCCC(=O)Nc4ccccc4N)cc3C1=O
THYM,5,CHEMBL2140815,C[C@H](CO)N1C[C@@H](C)[C@@H](CN(C)Cc2ccc(Cl)c(Cl)c2)Oc3ccc(NC(=O)CCCCCC(=O)Nc4ccccc4N)cc3CC1=O,C[C@H](CO)N1C[C@@H](C)[C@@H](CN(C)Cc2ccc(Cl)c(Cl)c2)Oc3ccc(NC(=O)CCCCCC(=O)Nc4ccccc4N)cc3CC1=O
UCEC,1,PI-828,Nc1ccc(cc1)-c1cccc2c1oc(cc2=O)N1CCOCC1,PI-828
UCEC,2,LY294002,O=c1cc(oc2c(cccc12)-c1ccccc1)N1CCOCC1,LY294002
UCEC,3,LY303511,O=c1cc(oc2c(cccc12)-c1ccccc1)N1CCNCC1,LY303511
UCEC,4,NU-7441,O=c1cc(oc2c(cccc12)-c1cccc2c3ccccc3sc12)N1CCOCC1,NU-7441
UCEC,5,351071-62-0,Cc1ccccc1Oc2cccc3c(=O)cc([nH]c23)N4CCOCC4,Cc1ccccc1Oc2cccc3c(=O)cc([nH]c23)N4CCOCC4
