description,effective_domain_size,goshv,intersection_size,intersections,name,native,p_value,parents,precision,query,query_size,recall,significant,source,term_size,source_order,group_id,candidate,gene_set_scope,intersection_genes,intersection_evidence_codes
APC/C:Cdc20 mediated degradation of Cyclin B,11154,39349,4,"[[], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [""REAC""], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [""REAC""], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [""REAC""], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [""REAC""], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], []]",APC/C:Cdc20 mediated degradation of Cyclin B,REAC:R-HSA-174048,0.0046686042424014945,"[""REAC:R-HSA-176409""]",0.020100502512562814,query_1,199,0.2222222222222222,True,REAC,18,25,42,Entinostat,all_selected,11065 | 27338 | 891 | 991,REAC
"""Any process that modulates the frequency, rate or extent of a process involved in the formation, arrangement of constituent parts, or disassembly of an organelle."" [GOC:mah]",11154,17605,31,"[[], [], [], [], [], [], [], [""NAS""], [""IMP"", ""IBA""], [], [""IDA""], [], [""IMP""], [], [], [""NAS""], [""IDA"", ""IBA""], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [""IDA"", ""IMP"", ""TAS""], [], [], [], [], [], [], [], [""IDA""], [], [], [""IBA""], [], [], [], [], [""IMP"", ""NAS""], [], [""IDA""], [], [""IMP""], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [""IMP"", ""IBA""], [], [], [], [], [], [], [], [], [], [], [], [], [], [""IBA"", ""IEA""], [], [], [], [], [], [], [], [], [], [], [], [], [""IMP"", ""TAS""], [""IMP""], [], [], [], [""IMP""], [], [], [""IMP""], [], [""IEA""], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [""IDA"", ""IMP"", ""ISS"", ""NAS"", ""IEA""], [], [], [], [], [], [], [], [], [], [], [], [], [], [""IDA"", ""ISS"", ""IBA""], [], [""ISS""], [], [], [], [], [], [], [""IDA"", ""IMP"", ""IBA"", ""TAS"", ""IEA""], [], [], [], [], [""IDA"", ""IMP"", ""IBA""], [], [], [], [], [], [], [], [], [], [""NAS""], [""IDA"", ""IMP""], [], [], [""IDA"", ""IMP"", ""IEA""], [], [], [], [], [], [], [""IEA""], [], [""IMP"", ""IBA""], [], [], [], [], [], [""ISS"", ""IBA""], [], [], [], [], [], [], [], [""IDA""], [], [], [], [], [], []]",regulation of organelle organization,GO:0033043,0.0046834572121855055,"[""GO:0006996"", ""GO:0051128""]",0.15577889447236182,query_1,199,0.03538812785388128,True,GO:BP,876,7482,18,Entinostat,all_selected,55143 | 11170 | 10635 | 2237 | 332 | 11065 | 5347 | 23397 | 10810 | 10403 | 3265 | 10460 | 22998 | 256949 | 6790 | 891 | 990 | 55226 | 11034 | 991 | 11130 | 1843 | 699 | 220134 | 57405 | 581 | 1736 | 1901 | 55616 | 11346 | 9898,NAS | IMP | IBA | IDA | TAS | IEA | ISS
"""An essential outer kinetochore complex involved in the attachment of microtubule ends to the chromosomes during mitosis."" [GOC:vw, PMID:28502666, PMID:34810257]",11154,35725,2,"[[], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [""IDA"", ""IPI"", ""IBA"", ""IEA""], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [""IDA"", ""IPI"", ""IBA"", ""IEA""], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], []]",Ndc80 complex,GO:0031262,0.004712631442935122,"[""GO:0000940"", ""GO:0032991""]",0.010050251256281407,query_1,199,1.0,True,GO:CC,2,1056,12,Entinostat,all_selected,10403 | 57405,IDA | IPI | IBA | IEA
"""A ubiquitin ligase complex found in the nucleus."" [GOC:mah]",11154,34693,5,"[[], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [""IDA""], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [""IDA""], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [""IDA""], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [""IDA"", ""IBA"", ""NAS""], [], [], [], [], [], [""IBA""], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], []]",nuclear ubiquitin ligase complex,GO:0000152,0.004712631442935122,"[""GO:0000151"", ""GO:0140513""]",0.02512562814070352,query_1,199,0.14705882352941177,True,GO:CC,34,24,12,Entinostat,all_selected,11065 | 27338 | 5888 | 991 | 84759,IDA | IBA | NAS
"""A stable assembly of two or more macromolecules, i.e. proteins, nucleic acids, carbohydrates or lipids, in which at least one component is a protein and the constituent parts function together in the nucleus."" [GOC:pg]",11154,38183,33,"[[], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [""IPI""], [""IDA""], [], [], [], [], [""IPI"", ""ISS"", ""IBA""], [], [], [], [], [], [], [""IPI"", ""ISS"", ""IEA""], [""IBA"", ""NAS""], [], [], [""IDA"", ""IPI"", ""IBA"", ""TAS"", ""NAS"", ""IEA""], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [""IPI""], [], [], [], [], [], [], [], [], [], [], [], [], [""IDA""], [], [], [], [], [""IDA"", ""IBA""], [], [""IPI"", ""ISS""], [], [], [], [], [], [], [], [], [], [], [], [], [], [""IDA""], [], [], [], [], [""IEA""], [], [], [], [""NAS""], [], [""IDA""], [], [], [], [], [], [], [], [], [], [], [""IDA""], [], [], [], [], [""IBA"", ""NAS""], [], [], [], [], [""IBA""], [], [], [], [], [], [], [], [""IDA"", ""IPI"", ""IBA"", ""NAS""], [], [], [], [""IDA"", ""IBA"", ""NAS"", ""IEA""], [], [""IDA"", ""IBA"", ""IEA""], [], [], [""IDA"", ""IPI"", ""IBA""], [], [], [""IDA"", ""IPI"", ""IBA"", ""IEA""], [], [], [""IPI"", ""ISS""], [], [], [], [], [""IPI"", ""ISS""], [], [], [], [], [], [], [], [], [""IDA"", ""IPI"", ""IBA"", ""NAS""], [], [], [], [""IPI"", ""ISS"", ""TAS""], [], [], [""IDA"", ""IBA"", ""TAS"", ""NAS"", ""IEA""], [], [], [], [], [], [""IDA"", ""IBA"", ""TAS"", ""NAS""], [], [], [], [], [], [], [], [], [], [], [], [], [""TAS""], [], [], [], [], [], [], [], [""IDA"", ""IBA"", ""IEA""], [""IDA"", ""IPI"", ""IBA"", ""IEA""], [""IDA""], [""IDA"", ""IBA"", ""NAS"", ""IEA""], [], [], [], [], []]",nuclear protein-containing complex,GO:0140513,0.004757575884547782,"[""GO:0005634"", ""GO:0032991""]",0.1658291457286432,query_1,199,0.03323262839879154,True,GO:CC,993,3514,12,Entinostat,all_selected,332 | 11065 | 51659 | 4171 | 25855 | 6628 | 4783 | 27338 | 23246 | 4176 | 5888 | 10248 | 5901 | 54663 | 55226 | 56915 | 79050 | 991 | 79902 | 84759 | 5111 | 11338 | 4173 | 60468 | 54107 | 4172 | 6627 | 1736 | 10799 | 8896 | 6631 | 9898 | 6629,IPI | IDA | ISS | IBA | IEA | NAS | TAS
"""A direct connection between the cytoplasm of two cells that is formed following the completion of cleavage furrow ingression during cell division. They are usually present only briefly prior to completion of cytokinesis. However, in some cases, such as the bridges between germ cells during their development, they become stabilised."" [PMID:9635420]",11154,36765,7,"[[], [], [], [], [], [], [], [""IDA""], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [""IDA""], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [""IDA""], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [""IDA""], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [""IDA""], [], [], [], [], [], [], [], [], [""IEA""], [], [], [], [], [], [], [""IDA""], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], []]",intercellular bridge,GO:0045171,0.004757575884547782,"[""GO:0110165""]",0.035175879396984924,query_1,199,0.0945945945945946,True,GO:CC,74,2096,15,Entinostat,all_selected,55143 | 316 | 10112 | 990 | 220134 | 55165 | 63876,IDA | IEA
HDR through Homologous Recombination (HRR),11154,40470,6,"[[], [], [], [], [], [], [], [], [], [], [""REAC""], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [""REAC""], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [""REAC""], [], [], [""REAC""], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [""REAC""], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [""REAC""], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], []]",HDR through Homologous Recombination (HRR),REAC:R-HSA-5685942,0.0050947159331076386,"[""REAC:R-HSA-5693567""]",0.03015075376884422,query_1,199,0.11764705882352941,True,REAC,51,1146,31,Entinostat,all_selected,10635 | 9156 | 5888 | 641 | 5111 | 54107,REAC
"""A process that is carried out at the cellular level which results in the assembly, arrangement of constituent parts, or disassembly of the microtubule spindle during a meiotic cell cycle."" [GOC:go_curators, GOC:mah]",11154,10182,4,"[[], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [""IEA""], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [""IEA""], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [""IEA""], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [""ISS""], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], []]",meiotic spindle organization,GO:0000212,0.005183966255099764,"[""GO:0007051"", ""GO:1903046""]",0.020100502512562814,query_1,199,0.23529411764705882,True,GO:BP,17,59,18,Entinostat,all_selected,9133 | 10403 | 6790 | 220134,IEA | ISS
"""The multiplication or reproduction of fibroblast cells, resulting in the expansion of the fibroblast population."" [GOC:jid]",11154,21823,8,"[[], [], [], [], [], [""IMP""], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [""IEA""], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [""IEA""], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [""IDA"", ""IEA""], [], [], [], [], [], [], [], [], [""IEA""], [], [], [], [""IEA""], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [""IEA""], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [""IEA""], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], []]",fibroblast proliferation,GO:0048144,0.005218068342719266,"[""GO:0008283""]",0.04020100502512563,query_1,199,0.08888888888888889,True,GO:BP,90,11700,21,Entinostat,all_selected,1019 | 890 | 3265 | 4282 | 891 | 990 | 1164 | 581,IMP | IEA | IDA
Processive synthesis on the C-strand of the telomere,11154,41198,4,"[[], [], [], [], [], [], [], [], [], [], [], [], [""REAC""], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [""REAC""], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [""REAC""], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [""REAC""], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], []]",Processive synthesis on the C-strand of the telomere,REAC:R-HSA-174414,0.005572267077368284,"[""REAC:R-HSA-174417""]",0.020100502512562814,query_1,199,0.21052631578947367,True,REAC,19,1874,30,Entinostat,all_selected,2237 | 3978 | 641 | 5111,REAC
"""Any process that activates or increases the frequency, rate or extent of multiplication or reproduction of fibroblast cells."" [GOC:jid]",11154,21825,6,"[[], [], [], [], [], [""IMP""], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [""IEA""], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [""IEA""], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [""IDA"", ""IEA""], [], [], [], [], [], [], [], [], [""IEA""], [], [], [], [""IEA""], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], []]",positive regulation of fibroblast proliferation,GO:0048146,0.005780704018341946,"[""GO:0008284"", ""GO:0048144"", ""GO:0048145""]",0.03015075376884422,query_1,199,0.12244897959183673,True,GO:BP,49,11702,21,Entinostat,all_selected,1019 | 890 | 3265 | 4282 | 891 | 990,IMP | IEA | IDA
Defective homologous recombination repair (HRR) due to BRCA1 loss of function,11154,40041,4,"[[], [], [], [], [], [], [], [], [], [], [""REAC""], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [""REAC""], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [""REAC""], [], [], [""REAC""], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], []]",Defective homologous recombination repair (HRR) due to BRCA1 loss of function,REAC:R-HSA-9701192,0.0059440307359587006,"[""REAC:R-HSA-9675136""]",0.020100502512562814,query_1,199,0.2,True,REAC,20,717,33,Entinostat,all_selected,10635 | 9156 | 5888 | 641,REAC
HDR through Homologous Recombination (HRR) or Single Strand Annealing (SSA),11154,40471,7,"[[], [], [], [], [], [], [], [], [], [], [""REAC""], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [""REAC""], [], [], [], [], [], [], [], [], [], [], [], [""REAC""], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [""REAC""], [], [], [""REAC""], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [""REAC""], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [""REAC""], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], []]",HDR through Homologous Recombination (HRR) or Single Strand Annealing (SSA),REAC:R-HSA-5693567,0.0059440307359587006,"[""REAC:R-HSA-5693538""]",0.035175879396984924,query_1,199,0.09333333333333334,True,REAC,75,1147,31,Entinostat,all_selected,10635 | 890 | 9156 | 5888 | 641 | 5111 | 54107,REAC
Impaired BRCA2 binding to PALB2,11154,40545,4,"[[], [], [], [], [], [], [], [], [], [], [""REAC""], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [""REAC""], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [""REAC""], [], [], [""REAC""], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], []]",Impaired BRCA2 binding to PALB2,REAC:R-HSA-9709603,0.0059440307359587006,"[""REAC:R-HSA-9701190""]",0.020100502512562814,query_1,199,0.2,True,REAC,20,1221,33,Entinostat,all_selected,10635 | 9156 | 5888 | 641,REAC
Defective HDR through Homologous Recombination Repair (HRR) due to PALB2 loss of BRCA1 binding function,11154,39908,4,"[[], [], [], [], [], [], [], [], [], [], [""REAC""], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [""REAC""], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [""REAC""], [], [], [""REAC""], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], []]",Defective HDR through Homologous Recombination Repair (HRR) due to PALB2 loss of BRCA1 binding function,REAC:R-HSA-9704331,0.0059440307359587006,"[""REAC:R-HSA-9701193""]",0.020100502512562814,query_1,199,0.2,True,REAC,20,584,33,Entinostat,all_selected,10635 | 9156 | 5888 | 641,REAC
Defective HDR through Homologous Recombination Repair (HRR) due to PALB2 loss of BRCA2/RAD51/RAD51C binding function,11154,39909,4,"[[], [], [], [], [], [], [], [], [], [], [""REAC""], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [""REAC""], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [""REAC""], [], [], [""REAC""], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], []]",Defective HDR through Homologous Recombination Repair (HRR) due to PALB2 loss of BRCA2/RAD51/RAD51C binding function,REAC:R-HSA-9704646,0.0059440307359587006,"[""REAC:R-HSA-9701193""]",0.020100502512562814,query_1,199,0.2,True,REAC,20,585,33,Entinostat,all_selected,10635 | 9156 | 5888 | 641,REAC
Defective homologous recombination repair (HRR) due to PALB2 loss of function,11154,40043,4,"[[], [], [], [], [], [], [], [], [], [], [""REAC""], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [""REAC""], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [""REAC""], [], [], [""REAC""], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], []]",Defective homologous recombination repair (HRR) due to PALB2 loss of function,REAC:R-HSA-9701193,0.0059440307359587006,"[""REAC:R-HSA-9675136""]",0.020100502512562814,query_1,199,0.2,True,REAC,20,719,33,Entinostat,all_selected,10635 | 9156 | 5888 | 641,REAC
PCNA-Dependent Long Patch Base Excision Repair,11154,41049,4,"[[], [], [], [], [], [], [], [], [], [], [], [], [""REAC""], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [""REAC""], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [""REAC""], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [""REAC""], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], []]",PCNA-Dependent Long Patch Base Excision Repair,REAC:R-HSA-5651801,0.0059440307359587006,"[""REAC:R-HSA-110373""]",0.020100502512562814,query_1,199,0.2,True,REAC,20,1725,34,Entinostat,all_selected,2237 | 3978 | 5111 | 54107,REAC
"""Any process that modulates the rate, frequency, or extent of DNA-templated DNA replication, the process in which new strands of DNA are synthesized."" [GOC:dph, GOC:tb]",11154,27126,5,"[[], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [""NAS""], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [""NAS""], [], [], [], [], [], [], [], [], [], [""IDA"", ""IBA"", ""IEA""], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [""NAS""], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [""NAS""], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], []]",regulation of DNA-templated DNA replication,GO:0090329,0.006078003911919076,"[""GO:0006261"", ""GO:0006275""]",0.02512562814070352,query_1,199,0.15625,True,GO:BP,32,17003,18,Entinostat,all_selected,4171 | 4176 | 81620 | 4173 | 4172,NAS | IDA | IBA | IEA
"""A protein complex which is capable of protein kinase activity."" [GO_REF:0000088, GOC:bhm, GOC:TermGenie, PMID:24606918]",11154,38349,9,"[[], [], [], [], [], [""IDA"", ""IPI"", ""IBA"", ""IEA""], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [""IBA"", ""IEA""], [], [], [], [], [], [], [], [], [], [], [""IBA""], [], [], [], [""IDA"", ""IPI"", ""IBA"", ""NAS"", ""IEA""], [], [], [], [], [], [], [], [], [""IPI"", ""ISS"", ""IBA""], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [""IDA"", ""IPI"", ""IBA""], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [""IEA""], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [""IBA""], [], [], [""IBA""], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], []]",protein kinase complex,GO:1902911,0.0067545997635809416,"[""GO:0061695""]",0.04522613065326633,query_1,199,0.06976744186046512,True,GO:CC,129,3680,14,Entinostat,all_selected,1019 | 5577 | 9133 | 890 | 7048 | 891 | 5111 | 1164 | 10983,IDA | IPI | IBA | IEA | NAS | ISS
