description,effective_domain_size,goshv,intersection_size,intersections,name,native,p_value,parents,precision,query,query_size,recall,significant,source,term_size,source_order,group_id,candidate,gene_set_scope,intersection_genes,intersection_evidence_codes,representative_rank
"""Catalytic activity that acts to modify a nucleic acid."" [GOC:pg]",11154,9383,14,"[[], [], [""IBA"", ""IEA""], [""TAS""], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [""IDA"", ""IMP"", ""IBA"", ""TAS"", ""IEA""], [], [], [], [""IDA"", ""IBA"", ""IEA""], [""IEA""], [], [], [], [], [], [], [], [], [], [], [""IDA"", ""IBA"", ""NAS"", ""IEA""], [], [], [], [""IDA"", ""IMP"", ""IBA"", ""IEA""], [], [], [""IDA"", ""IBA""], [], [], [""IDA"", ""IMP"", ""IBA"", ""TAS"", ""IEA""], [""IDA"", ""IMP"", ""IEA""], [], [], [], [], [], [], [""IDA"", ""IBA"", ""IEA""], [], [], [], [], [], [], [], [], [], [], [], [""TAS"", ""IEA""], [], [], [], [], [], [], [], [], [""IDA""], [""IDA"", ""IBA"", ""IEA""], [], [], [], [], []]","catalytic activity, acting on a nucleic acid",GO:0140640,0.00033290051437733913,"[""GO:0003824""]",0.14736842105263157,query_1,95,0.03414634146341464,True,GO:MF,410,9383,1,Belinostat,disease_up_drug_down,4171 | 5427 | 2237 | 4176 | 80324 | 51067 | 5888 | 5984 | 3978 | 7153 | 4234 | 54606 | 8091 | 57109,IBA | IEA | TAS | IDA | IMP | NAS,4.0
"""Binding to a DNA polymerase."" [GOC:BHF, GOC:mah]",11154,7889,4,"[[], [""IBA""], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [""IPI""], [], [], [], [], [], [], [], [], [], [""IPI""], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [""IPI"", ""IBA""], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], []]",DNA polymerase binding,GO:0070182,0.0003976356113941756,"[""GO:0019899""]",0.042105263157894736,query_1,95,0.2222222222222222,True,GO:MF,18,7889,3,Belinostat,disease_up_drug_down,81620 | 8099 | 5888 | 55215,IBA | IPI,5.0
Cell cycle,11154,39011,14,"[[], [""KEGG""], [""KEGG""], [], [""KEGG""], [], [], [""KEGG""], [""KEGG""], [], [""KEGG""], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [""KEGG""], [], [], [], [], [], [], [""KEGG""], [], [], [], [], [], [], [], [], [], [], [""KEGG""], [], [], [], [""KEGG""], [], [], [], [], [], [], [], [], [], [], [], [""KEGG""], [], [], [], [], [], [], [], [""KEGG""], [], [""KEGG""], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [""KEGG""], [], [], []]",Cell cycle,KEGG:04110,3.2765436157027985e-10,"[""KEGG:00000""]",0.14736842105263157,query_1,95,0.1076923076923077,True,KEGG,130,273,49,Belinostat,disease_up_drug_down,81620 | 4171 | 1019 | 9133 | 5347 | 890 | 4085 | 4176 | 9319 | 10403 | 699 | 7272 | 9212 | 993,KEGG,1.0
DNA replication,11154,38957,7,"[[], [], [""KEGG""], [""KEGG""], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [""KEGG""], [], [], [], [""KEGG""], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [""KEGG""], [], [], [""KEGG""], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [""KEGG""], [], [], [], [], [], [], [], [], [], [], [], [], []]",DNA replication,KEGG:03030,4.92598969283845e-07,"[""KEGG:00000""]",0.07368421052631578,query_1,95,0.20588235294117646,True,KEGG,34,219,50,Belinostat,disease_up_drug_down,4171 | 5427 | 2237 | 4176 | 5984 | 3978 | 23649,KEGG,2.0
Progesterone-mediated oocyte maturation,11154,39123,6,"[[], [], [], [], [], [], [], [""KEGG""], [""KEGG""], [], [""KEGG""], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [""KEGG""], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [""KEGG""], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [""KEGG""], [], [], []]",Progesterone-mediated oocyte maturation,KEGG:04914,0.001157195077894857,"[""KEGG:00000""]",0.06315789473684211,query_1,95,0.08,True,KEGG,75,385,51,Belinostat,disease_up_drug_down,9133 | 5347 | 890 | 4085 | 699 | 993,KEGG,3.0
Cellular senescence,11154,39042,6,"[[], [], [], [], [""KEGG""], [], [], [""KEGG""], [], [""KEGG""], [""KEGG""], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [""KEGG""], [], [], [], [], [], [], [""KEGG""], [], [], []]",Cellular senescence,KEGG:04218,0.01928741083431775,"[""KEGG:00000""]",0.06315789473684211,query_1,95,0.043478260869565216,True,KEGG,138,304,53,Belinostat,disease_up_drug_down,1019 | 9133 | 2305 | 890 | 4605 | 993,KEGG,4.0
Motor proteins,11154,39117,6,"[[], [], [], [], [], [], [], [], [], [], [], [], [""KEGG""], [""KEGG""], [], [], [], [], [], [], [], [], [], [], [], [], [""KEGG""], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [""KEGG""], [], [], [], [], [], [], [], [], [], [""KEGG""], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [""KEGG""], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], []]",Motor proteins,KEGG:04814,0.02147828178420897,"[""KEGG:00000""]",0.06315789473684211,query_1,95,0.0410958904109589,True,KEGG,146,379,54,Belinostat,disease_up_drug_down,24137 | 146909 | 56992 | 3832 | 10112 | 3833,KEGG,5.0
Cell Cycle,11154,39661,43,"[[""REAC""], [""REAC""], [""REAC""], [""REAC""], [""REAC""], [], [], [""REAC""], [""REAC""], [""REAC""], [""REAC""], [""REAC""], [], [], [], [""REAC""], [], [""REAC""], [], [""REAC""], [""REAC""], [""REAC""], [], [], [""REAC""], [], [], [], [""REAC""], [""REAC""], [""REAC""], [], [], [""REAC""], [], [], [""REAC""], [""REAC""], [], [], [""REAC""], [], [""REAC""], [], [""REAC""], [""REAC""], [], [""REAC""], [], [], [], [], [""REAC""], [""REAC""], [], [], [""REAC""], [], [], [""REAC""], [""REAC""], [""REAC""], [], [], [""REAC""], [], [], [], [""REAC""], [], [""REAC""], [], [], [""REAC""], [""REAC""], [], [], [], [], [], [], [""REAC""], [], [""REAC""], [""REAC""], [], [""REAC""], [], [], [], [], [""REAC""], [], [], []]",Cell Cycle,REAC:R-HSA-1640170,1.2921500569863315e-30,"[""REAC:0000000""]",0.45263157894736844,query_1,95,0.08514851485148515,True,REAC,505,337,56,Belinostat,disease_up_drug_down,11065 | 81620 | 4171 | 5427 | 1019 | 9133 | 5347 | 2305 | 890 | 51512 | 55355 | 23397 | 22974 | 11130 | 57405 | 1063 | 6241 | 220134 | 4085 | 2237 | 9837 | 4176 | 5901 | 7298 | 332 | 4001 | 79019 | 10403 | 5888 | 5984 | 3978 | 7153 | 10112 | 699 | 55143 | 3161 | 1058 | 9212 | 23649 | 4751 | 4605 | 11339 | 993,REAC,1.0
Cell Cycle Checkpoints,11154,39662,21,"[[""REAC""], [], [""REAC""], [], [], [], [], [""REAC""], [""REAC""], [], [""REAC""], [""REAC""], [], [], [], [], [], [], [], [], [""REAC""], [""REAC""], [], [], [""REAC""], [], [], [], [], [""REAC""], [""REAC""], [], [], [], [], [], [], [""REAC""], [], [], [], [], [], [], [""REAC""], [], [], [""REAC""], [], [], [], [], [""REAC""], [], [], [], [""REAC""], [], [], [], [], [], [], [], [""REAC""], [], [], [], [""REAC""], [], [], [], [], [""REAC""], [""REAC""], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [""REAC""], [], [], []]",Cell Cycle Checkpoints,REAC:R-HSA-69620,4.531769322526712e-15,"[""REAC:R-HSA-1640170""]",0.22105263157894736,query_1,95,0.10047846889952153,True,REAC,209,338,56,Belinostat,disease_up_drug_down,11065 | 4171 | 9133 | 5347 | 890 | 51512 | 11130 | 57405 | 1063 | 220134 | 4085 | 4176 | 332 | 79019 | 10403 | 5984 | 699 | 55143 | 1058 | 9212 | 993,REAC,2.0
S Phase,11154,41521,13,"[[""REAC""], [""REAC""], [""REAC""], [""REAC""], [""REAC""], [], [], [], [], [], [""REAC""], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [""REAC""], [], [], [""REAC""], [""REAC""], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [""REAC""], [], [], [""REAC""], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [""REAC""], [], [], [], [], [], [], [], [], [], [""REAC""], [], [], []]",S Phase,REAC:R-HSA-69242,3.4004231838528057e-09,"[""REAC:R-HSA-69278""]",0.1368421052631579,query_1,95,0.09420289855072464,True,REAC,138,2197,56,Belinostat,disease_up_drug_down,11065 | 81620 | 4171 | 5427 | 1019 | 890 | 2237 | 9837 | 4176 | 5984 | 3978 | 23649 | 993,REAC,3.0
Polo-like kinase mediated events,11154,41164,6,"[[], [], [], [], [], [], [], [""REAC""], [""REAC""], [""REAC""], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [""REAC""], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [""REAC""], [], [], [], [], [], [], [""REAC""], [], [], []]",Polo-like kinase mediated events,REAC:R-HSA-156711,1.2838684516008642e-08,"[""REAC:R-HSA-69275""]",0.06315789473684211,query_1,95,0.46153846153846156,True,REAC,13,1840,56,Belinostat,disease_up_drug_down,9133 | 5347 | 2305 | 1063 | 4605 | 993,REAC,4.0
Mitotic G1 phase and G1/S transition,11154,40869,12,"[[], [""REAC""], [""REAC""], [""REAC""], [""REAC""], [], [], [], [], [], [""REAC""], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [""REAC""], [], [], [], [], [], [], [], [], [""REAC""], [], [], [], [], [""REAC""], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [""REAC""], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [""REAC""], [], [], [""REAC""], [], [], [], [], [], [], [""REAC""], [], [], []]",Mitotic G1 phase and G1/S transition,REAC:R-HSA-453279,3.276184839904899e-08,"[""REAC:R-HSA-69278""]",0.12631578947368421,query_1,95,0.08823529411764706,True,REAC,136,1545,56,Belinostat,disease_up_drug_down,81620 | 4171 | 5427 | 1019 | 890 | 6241 | 4176 | 7298 | 7153 | 23649 | 4605 | 993,REAC,5.0
"""A process that is part of the mitotic cell cycle."" [GO_REF:0000060, GOC:mtg_cell_cycle, GOC:TermGenie]",11154,31273,43,"[[], [], [], [], [], [""IDA"", ""IMP"", ""IBA"", ""NAS""], [""IDA"", ""IEA""], [""IMP"", ""IBA"", ""NAS""], [""IMP""], [], [], [], [], [], [], [""IBA"", ""NAS""], [""IDA"", ""IMP"", ""IBA""], [], [], [], [], [], [], [], [], [], [], [], [""IBA""], [], [], [""IMP""], [], [], [""IMP""], [""IBA"", ""IEA""], [""IDA"", ""IMP"", ""IBA"", ""TAS""], [], [""IMP""], [""IDA"", ""IBA"", ""NAS"", ""IEA""], [""IMP""], [], [], [], [""IDA"", ""IMP"", ""IBA"", ""IEA""], [], [], [], [], [], [], [], [""IDA"", ""IMP"", ""IBA"", ""TAS"", ""NAS"", ""IEA""], [], [], [], [""IMP"", ""IEA""], [""IBA""], [], [], [], [], [], [], [], [], [""IDA"", ""IMP""], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [""IMP""], [], [], [], [""IEA""], [], [], [""IDA""], [], [], [], [], [], [""IMP"", ""TAS""], [], [], [], [], [""IBA"", ""TAS"", ""IEA""], [""IDA"", ""IMP"", ""IBA"", ""NAS"", ""IEA""], [], [], [], [""IMP"", ""IBA"", ""TAS""], [], [], [], [], [], [], [], [], [""IDA"", ""IBA"", ""TAS""], [], [], [], [], [], [], [], [], [], [], [], [""IDA"", ""NAS"", ""IEA""], [""IDA""], [], [], [], [], [], [""IEA""], [], [""ISS"", ""IEA""], [], [], [], [], [""IDA"", ""IBA"", ""IEA""], [""IBA""], [""ISS""], [], [], [], [], [], [], [""IMP"", ""IBA"", ""TAS"", ""IEA""], [""IEA""], [], [], [""IBA""], [""IDA"", ""IMP""], [], [], [], [], [""IBA""], [], [], [], [""IMP"", ""IGI"", ""IBA"", ""IEA""], [""IMP"", ""NAS""], [], [], [""ISS""], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [""IMP""], [], []]",mitotic cell cycle process,GO:1903047,9.683082450331903e-13,"[""GO:0000278"", ""GO:0022402""]",0.21608040201005024,query_1,199,0.07570422535211267,True,GO:BP,568,21150,18,Entinostat,all_selected,1019 | 2305 | 55143 | 11170 | 332 | 11065 | 4171 | 388 | 3835 | 9133 | 5347 | 10112 | 890 | 9928 | 23397 | 10403 | 10460 | 3978 | 27338 | 81620 | 5888 | 641 | 5901 | 6790 | 891 | 990 | 993 | 991 | 2273 | 4303 | 5111 | 11130 | 4173 | 1843 | 699 | 1164 | 10983 | 220134 | 4172 | 55165 | 57405 | 56992 | 80346,IDA | IMP | IBA | NAS | IEA | TAS | ISS | IGI,1.0
"""The cell cycle process in which sister chromatids are organized and then physically separated and apportioned to two or more sets."" [GOC:ai, GOC:elh]",11154,10352,21,"[[], [], [], [], [], [], [], [""IMP"", ""IBA"", ""NAS""], [], [], [], [], [], [], [], [""NAS""], [""IDA"", ""IBA""], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [""IMP""], [], [""IDA"", ""IMP"", ""TAS""], [], [], [], [""IMP""], [], [], [], [""IDA"", ""IMP"", ""IBA"", ""IEA""], [], [], [], [], [], [], [], [""IDA"", ""IMP"", ""IBA"", ""TAS"", ""NAS"", ""IEA""], [], [], [], [""IMP""], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [""IMP""], [], [], [], [], [], [], [], [], [], [], [], [], [""IMP""], [], [], [], [], [], [""IMP"", ""IBA""], [], [], [], [""IMP""], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [""IDA"", ""IMP"", ""ISS"", ""NAS"", ""IEA""], [], [], [""IBA""], [], [], [], [], [], [], [], [], [], [], [""IDA"", ""ISS"", ""IBA""], [], [""ISS""], [], [], [], [], [], [], [""IMP"", ""IBA"", ""TAS"", ""IEA""], [], [], [], [], [""IDA"", ""IMP""], [], [], [], [], [], [], [], [], [], [""NAS""], [], [], [""ISS""], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], []]",sister chromatid segregation,GO:0000819,2.4749383918166977e-09,"[""GO:0051276"", ""GO:0098813""]",0.10552763819095477,query_1,199,0.12,True,GO:BP,175,229,18,Entinostat,all_selected,55143 | 332 | 11065 | 3835 | 5347 | 9928 | 23397 | 10403 | 10460 | 81620 | 5901 | 891 | 990 | 991 | 7153 | 11130 | 1843 | 699 | 220134 | 57405 | 56992,IMP | IBA | NAS | IDA | TAS | IEA | ISS,2.0
"""A cellular process that results in the biosynthesis of constituent macromolecules, assembly, and arrangement of constituent parts of a complex containing RNA and proteins. Includes the biosynthesis of the constituent RNA and protein molecules, and those macromolecular modifications that are involved in synthesis or assembly of the ribonucleoprotein complex."" [GOC:isa_complete, GOC:mah]",11154,16308,26,"[[], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [""IDA"", ""NAS""], [], [], [], [], [""IBA""], [], [], [], [""IEA""], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [""IEA""], [], [""IBA""], [], [""IBA""], [], [], [""NAS"", ""IEA""], [""IMP"", ""IBA"", ""NAS"", ""IC"", ""IEA""], [""IDA"", ""IMP"", ""IBA"", ""IEA""], [], [], [], [], [], [""ISS"", ""IBA"", ""IEA""], [], [], [], [], [], [], [], [], [], [], [], [], [], [""IEA""], [], [], [""IBA""], [""IMP"", ""IBA""], [], [""IMP"", ""IBA"", ""IEA""], [""IBA"", ""IEA""], [], [], [], [], [], [], [], [], [], [""IDA"", ""IBA"", ""TAS"", ""IEA""], [], [], [], [], [""NAS"", ""IEA""], [], [""IEA""], [], [], [""ISS"", ""IEA""], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [""IBA"", ""IEA""], [], [""IBA""], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [""NAS""], [], [], [], [], [], [""IMP"", ""IBA"", ""TAS"", ""IEA""], [], [], [], [], [], [], [], [], [], [], [], [], [""IBA"", ""IEA""], [], [], [], [], [], [], [], [], [""IDA"", ""IBA"", ""IEA""], [], [""NAS""], [], [], [], [], []]",ribonucleoprotein complex biogenesis,GO:0022613,2.1879562160638492e-08,"[""GO:0044085""]",0.1306532663316583,query_1,199,0.07807807807807808,True,GO:BP,333,6185,18,Entinostat,all_selected,6628 | 54555 | 54606 | 5036 | 22827 | 51491 | 8662 | 23246 | 4839 | 705 | 10248 | 23029 | 5901 | 54663 | 56342 | 55226 | 56915 | 57109 | 79050 | 55299 | 11338 | 6627 | 1736 | 10799 | 6631 | 6629,IDA | NAS | IBA | IEA | IMP | IC | ISS | TAS,3.0
"""Any process that stops, prevents or reduces the frequency, rate or extent of mitotic cell cycle phase transition."" [GOC:mtg_cell_cycle, GOC:TermGenie, PMID:22841721]",11154,30571,16,"[[], [], [], [], [], [], [], [""NAS""], [""IMP""], [], [], [], [], [], [], [""NAS""], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [""IDA"", ""IMP""], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [""IMP"", ""NAS""], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [""IDA""], [], [], [], [], [], [], [], [], [], [], [], [""IMP""], [], [], [], [""IBA""], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [""NAS""], [""IDA""], [], [], [], [], [], [""IEA""], [], [], [], [], [], [], [""IDA"", ""IBA""], [], [""ISS""], [], [], [], [], [], [], [""IMP"", ""IBA"", ""TAS"", ""IEA""], [], [], [], [], [""IMP""], [], [], [], [], [], [], [], [], [], [""NAS""], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], []]",negative regulation of mitotic cell cycle phase transition,GO:1901991,9.911781278764479e-08,"[""GO:0044772"", ""GO:0045930"", ""GO:1901988"", ""GO:1901990""]",0.08040201005025126,query_1,199,0.12307692307692308,True,GO:BP,130,20448,18,Entinostat,all_selected,55143 | 11170 | 332 | 5347 | 10403 | 641 | 891 | 990 | 991 | 2273 | 4303 | 11130 | 1843 | 699 | 220134 | 57405,NAS | IMP | IDA | IBA | IEA | ISS | TAS,4.0
"""The cellular metabolic process in which a cell duplicates one or more molecules of DNA. DNA replication begins when specific sequences, known as origins of replication, are recognized and bound by the origin recognition complex, and ends when the original DNA molecule has been completely duplicated and the copies topologically separated. The unit of replication usually corresponds to the genome of the cell, an organelle, or a virus. The template for replication can either be an existing DNA molecule or RNA."" [GOC:mah]",11154,12095,20,"[[], [], [], [], [], [], [], [], [], [], [], [], [""IDA"", ""TAS"", ""IEA""], [], [], [], [], [], [], [], [], [""IEA""], [], [], [], [], [], [], [""IMP"", ""IBA"", ""TAS"", ""NAS"", ""IEA""], [], [], [], [], [], [], [], [], [], [], [""IMP""], [], [], [], [], [], [], [], [], [], [], [], [""IMP""], [], [], [], [], [], [""IBA"", ""IEA""], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [""IBA"", ""TAS"", ""NAS"", ""IEA""], [], [], [], [""IEA""], [], [""IEA""], [], [], [], [""IDA"", ""IMP"", ""IBA"", ""IEA""], [], [], [], [""IDA"", ""IMP"", ""IEA""], [], [], [""IDA"", ""ISS"", ""IBA"", ""TAS"", ""IEA""], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [""IBA"", ""TAS"", ""IEA""], [], [], [], [], [], [], [], [], [""TAS""], [], [], [], [], [], [], [], [], [], [], [""IMP"", ""IBA"", ""IEA""], [], [], [], [], [], [], [], [], [], [""IDA"", ""IMP"", ""ISS"", ""IBA"", ""IEA""], [], [], [], [], [], [""IBA"", ""NAS"", ""IEA""], [], [], [], [], [], [], [], [], [], [], [""IMP"", ""IBA"", ""IEA""], [], [], [""IDA"", ""IMP"", ""IBA"", ""TAS""], [], [], [], [""IBA"", ""TAS"", ""NAS"", ""IEA""], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], []]",DNA replication,GO:0006260,1.0110754634567008e-07,"[""GO:0006259""]",0.10050251256281408,query_1,199,0.09389671361502347,True,GO:BP,213,1972,18,Entinostat,all_selected,2237 | 51659 | 4171 | 890 | 9156 | 3978 | 4176 | 10036 | 27000 | 81620 | 5888 | 641 | 990 | 993 | 55388 | 5111 | 4173 | 9401 | 54107 | 4172,IDA | TAS | IEA | IMP | IBA | NAS | ISS,5.0
"""Any subdivision of a chromosome along its length."" [GOC:dos]",11154,37842,29,"[[], [], [], [], [], [], [], [""IDA"", ""IBA"", ""IEA""], [], [], [""IEA""], [], [""IDA"", ""HDA""], [], [], [""IDA"", ""IBA"", ""IEA""], [], [], [], [], [], [], [], [], [], [], [], [], [""HDA""], [], [], [], [], [], [""TAS""], [], [""IDA"", ""IBA"", ""IEA""], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [""IDA"", ""IPI"", ""IBA"", ""TAS"", ""NAS"", ""IEA""], [], [], [], [], [], [""IBA"", ""IEA""], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [""HDA""], [], [], [], [], [], [], [], [], [], [""IDA"", ""IEA""], [], [], [], [""IDA"", ""IEA""], [], [""IPI"", ""IEA""], [""IDA""], [], [], [], [], [], [], [], [], [], [], [""IBA""], [""IDA""], [], [], [], [], [], [], [""HDA""], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [""ISS"", ""IEA""], [], [], [""IEA""], [""IDA"", ""IEA""], [], [], [], [], [""HDA""], [], [], [], [], [""IDA"", ""IBA"", ""NAS"", ""IEA""], [""HDA""], [], [], [], [], [], [], [], [""IDA"", ""IBA"", ""IEA""], [], [], [""IMP""], [], [""IDA"", ""IPI"", ""IBA"", ""IEA""], [""ISO""], [], [], [], [""HDA""], [], [], [], [], [""IDA"", ""IPI"", ""IBA"", ""NAS"", ""IEA""], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], []]",chromosomal region,GO:0098687,8.328069623763038e-12,"[""GO:0005694"", ""GO:0110165""]",0.1457286432160804,query_1,199,0.10247349823321555,True,GO:CC,283,3173,12,Entinostat,all_selected,55143 | 10635 | 2237 | 332 | 4171 | 3835 | 5347 | 10403 | 11339 | 4176 | 81620 | 5888 | 79019 | 641 | 6790 | 891 | 55226 | 991 | 7153 | 79902 | 5111 | 11130 | 4173 | 699 | 9401 | 220134 | 54107 | 4172 | 57405,IDA | IBA | IEA | HDA | TAS | IPI | NAS | ISS | IMP | ISO,1.0
"""The region of a kinetochore most external to centromeric DNA; this outer region mediates kinetochore-microtubule interactions."" [GOC:clt, PMID:11483983]",11154,34799,7,"[[], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [""IDA""], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [""IDA"", ""IPI"", ""IBA"", ""IEA""], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [""IDA""], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [""IDA""], [], [], [], [], [], [], [], [], [""IDA""], [], [], [], [], [""IDA"", ""IBA""], [], [], [], [], [], [], [], [], [], [""IDA"", ""IPI"", ""IBA"", ""IEA""], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], []]",outer kinetochore,GO:0000940,7.68019954795223e-08,"[""GO:0000776"", ""GO:0032991""]",0.035175879396984924,query_1,199,0.5384615384615384,True,GO:CC,13,130,12,Entinostat,all_selected,5347 | 10403 | 891 | 11130 | 699 | 220134 | 57405,IDA | IPI | IBA | IEA,2.0
"""A chromosome that encodes the nuclear genome and is found in the nucleus of a eukaryotic cell during the cell cycle phases when the nucleus is intact."" [GOC:dph, GOC:mah]",11154,34706,15,"[[], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [""IDA""], [], [], [], [], [], [""IPI"", ""ISS"", ""IBA"", ""IEA""], [], [], [], [], [], [], [""IPI"", ""ISS"", ""IEA""], [""IBA"", ""NAS""], [], [], [], [], [], [], [""IEA""], [], [], [], [], [], [], [], [""ISO"", ""IEA""], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [""IPI"", ""ISS""], [], [], [], [], [], [], [], [], [], [], [], [], [], [""IDA"", ""ISS"", ""IBA"", ""IEA""], [], [], [""IDA""], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [""IBA""], [], [], [], [""IDA""], [], [], [], [], [], [""IDA""], [], [], [], [], [], [""IPI"", ""ISS""], [], [], [], [], [], [], [], [], [], [], [], [], [], [""IDA"", ""IPI"", ""IBA""], [], [], [], [""IPI"", ""ISS"", ""TAS""], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], []]",nuclear chromosome,GO:0000228,7.4200237925210794e-06,"[""GO:0005694"", ""GO:0031981""]",0.07537688442211055,query_1,199,0.09090909090909091,True,GO:CC,165,37,12,Entinostat,all_selected,332 | 51659 | 4171 | 25855 | 5347 | 23397 | 4176 | 5888 | 641 | 55388 | 7153 | 5111 | 4173 | 54107 | 4172,IDA | IPI | ISS | IBA | IEA | NAS | ISO | TAS,3.0
